name,slug,released,genre,rating,metacritic
Black Book: Prologue,black-book-prologue,2020-05-05,Indie,4.14,
SnowRunner,snowrunner,2020-04-28,Racing,3.93,81.0
FIFA 21,fifa-21,2020-10-06,Simulation,2.57,75.0
Samsara Room,samsara-room,2020-04-29,Indie,3.76,
Call of Duty: Warzone,call-of-duty-warzone,2020-03-10,Shooter,3.7,79.0
Command & Conquer Remastered Collection,command-conquer-remastered,2020-06-05,Strategy,4.2,83.0
Rogue Company,rogue-company,2020-09-30,Shooter,3.36,
Neon Abyss,neon-abyss,2020-07-13,Platformer,3.25,78.0
Maneater,maneater,2020-05-22,Indie,3.53,70.0
Fae Tactics,fae-tactics,2020-07-30,Strategy,0.0,
Coffee Talk,coffee-talk,2020-01-28,Casual,3.54,
Xenoblade Chronicles: Definitive Edition,xenoblade-chronicles-definitive-edition,2020-05-29,RPG,4.3,89.0
Spelunky 2,spelunky-2,2020-09-15,Platformer,4.08,90.0
F1 2020,f1-2020,2020-07-10,Racing,3.7,88.0
Monster Train,monster-train,2020-05-20,Strategy,4.27,
Hotshot Racing,hotshot-racing,2020-09-10,Racing,2.85,76.0
Trials of Mana (2020),trials-of-mana,2020-04-24,RPG,2.81,76.0
Grounded,grounded-2,2020-07-28,Indie,3.8,
Valorant,valorant,2020-06-02,Shooter,3.38,80.0
Iron Harvest,iron-harvest,2020-08-31,Strategy,2.54,74.0
The Walking Dead: Saints & Sinners,the-walking-dead-saints-sinners,2020-01-23,Adventure,3.73,80.0
Mortal Shell,mortal-shell,2020-08-18,Action,3.14,76.0
Amnesia: Rebirth,amnesia-rebirth,2020-10-20,Indie,3.13,80.0
Minecraft: Dungeons,minecraft-dungeons,2020-05-26,Adventure,3.43,74.0
Gunfire Reborn,gunfire-reborn,2020-05-22,Shooter,4.0,
Aquanox Deep Descent,aquanox-deep-descent,2020-10-15,Action,1.67,70.0
Kingdoms of Amalur: Re-Reckoning,kingdoms-of-amalur-re-reckoning,2020-09-08,Adventure,3.06,71.0
Control: The Foundation,control-the-foundation,2020-03-26,Shooter,3.94,78.0
Townscaper,townscaper,2020-06-30,Casual,4.25,
Saints Row: The Third Remastered,saints-row-the-third-remastered,2020-05-22,Adventure,3.5,73.0
Yakuza: Like a Dragon,yakuza-7,2020-01-16,Action,0.0,
The Pedestrian,the-pedestrian,2020-01-29,Indie,4.22,81.0
THE WONDERFUL 101: REMASTERED,the-wonderful-101-remastered,2020-05-19,Adventure,3.46,78.0
Rocket Arena,rocket-arena-2,2020-07-13,Shooter,3.09,71.0
WORLD OF HORROR,world-of-horror,2020-02-19,Indie,4.2,
13 Sentinels: Aegis Rim,13-sentinels-aegis-rim,2020-09-22,Adventure,4.33,86.0
The White Door,the-white-door,2020-01-08,Indie,3.81,
Age of Empires III: Definitive Edition,age-of-empires-iii-definitive-edition,2020-10-15,Strategy,0.0,76.0
Soda Dungeon 2,soda-dungeon-2,2020-07-08,Casual,0.0,
Skater XL,skater-xl,2020-07-28,Indie,3.62,57.0
Paper Mario: The Origami King,paper-mario-the-origami-king,2020-07-17,Adventure,4.06,79.0
BPM: BULLETS PER MINUTE,bpm-bullets-per-minute,2020-09-15,Indie,3.58,74.0
"Yes, Your Grace",yes-your-grace,2020-03-05,Strategy,3.83,
Dreamscaper: Prologue,dreamscaper-prologue,2020-04-08,Indie,0.0,
Granblue Fantasy: Versus,granblue-fantasy-versus,2020-03-13,Action,3.93,78.0
Metro Exodus: Sam's Story,metro-exodus-sams-story,2020-02-11,Shooter,3.68,
The Complex,the-complex,2020-03-31,Adventure,3.32,64.0
Curse of the Dead Gods,curse-of-the-dead-gods,2020-03-03,Adventure,3.88,
Disintegration,disintegration-2,2020-06-16,Shooter,2.9,63.0
Battletoads (2020),battletoads-2019,2020-08-20,Platformer,3.3,70.0
Hardspace: Shipbreaker,hardspace-shipbreaker,2020-06-16,Simulation,4.0,
ScourgeBringer,scourgebringer,2020-02-06,Indie,3.5,
"Mýrdalssandur, Iceland",myrdalssandur-iceland,2020-01-31,Casual,0.0,
