GameKey,GameName,MainGenre,SubGenre
fall-guys,Fall Guys: Ultimate Knockout,Action,Casual
the-last-of-us-part-2,The Last of Us Part II,Shooter,Adventure
doom-eternal,DOOM Eternal,Shooter,Action
mafia-ii-definitive-edition,Mafia II: Definitive Edition,Adventure,Action
dota-underlords,Dota Underlords,Casual,Strategy
ghost-of-tsushima,Ghost of Tsushima,Adventure,Action
ori-and-the-will-of-the-wisps,Ori and the Will of the Wisps,Platformer,Adventure
final-fantasy-vii-remake,Final Fantasy VII Remake,Adventure,Action
mafia-iii-definitive-edition,Mafia III: Definitive Edition,Adventure,Action
superhot-mind-control-delete,SUPERHOT: MIND CONTROL DELETE,Indie,Action
resident-evil-3,Resident Evil 3,Shooter,Adventure
hades-2018,Hades,Indie,Adventure
factorio,Factorio,Casual,Strategy
kentucky-route-zero,Kentucky Route Zero,Indie,Adventure
risk-of-rain-2,Risk of Rain 2,Shooter,Arcade
helltaker,Helltaker,Indie,Adventure
streets-of-rage-4,Streets of Rage 4,Indie,Action
mafia,Mafia: Definitive Edition,Adventure,Action
streets-of-kamurocho,Streets of kamurocho,Action,none
genshin-impact,Genshin Impact,Adventure,Action
watch-dogs-legion,Watch Dogs Legion,Shooter,Adventure
assassins-creed-valhalla,Assassin's Creed Valhalla,Adventure,Action
animal-crossing-2019,Animal Crossing: New Horizons,Simulation,none
half-life-alyx,Half-Life: Alyx,Shooter,Adventure
marvels-avengers,Marvel’s Avengers,Adventure,Action
endless-zone,Endless Zone,Action,none
persona-5-royal,Persona 5 Royal,Adventure,RPG
armor-of-heroes,Armor of Heroes,Action,none
call-of-duty-modern-warfare-2-campaign-remastered,Call of Duty: Modern Warfare 2 Campaign Remastered,Shooter,Action
carrion,Carrion,Indie,Adventure
gears-tactics,Gears Tactics,Strategy,none
wasteland-3,Wasteland 3,Strategy,RPG
devolverland-expo,Devolverland Expo,Indie,Shooter
mount-blade-ii-bannerlord,Mount & Blade II: Bannerlord,Strategy,Action
squad,Squad,Shooter,Action
golden-axed-a-cancelled-prototype,Golden Axed: A Cancelled Prototype,Action,none
ghostrunner-demo,Ghostrunner Demo,none,none
neighbours-back-from-hell,Neighbours back From Hell,Casual,Strategy
tony-hawks-pro-skater-12,Tony Hawk's Pro Skater 1 + 2,Sports,none
crusader-kings-iii,Crusader Kings III,Strategy,RPG
doom-64-2020,DOOM 64 (2020),Action,none
project-resistance,Resident Evil: Resistance,Action,none
delores-a-thimbleweed-park-mini-adventure,Delores: A Thimbleweed Park Mini-Adventure,Indie,Adventure
trailmakers,Trailmakers,Racing,Adventure
unrailed,Unrailed!,Casual,Indie
baldurs-gate-3,Baldur's Gate III,Strategy,Adventure
phasmophobia,Phasmophobia,Indie,Action
ghostrunner,Ghostrunner,Action,none
lightmatter,Lightmatter,Indie,Adventure
microsoft-flight-simulator,Microsoft Flight Simulator 2020,Simulation,none
noita,Noita,Adventure,Action
star-wars-squadrons,Star Wars: Squadrons,Action,Simulation
nioh-2,Nioh 2,Action,none
the-coma-2-vicious-sisters,The Coma 2: Vicious Sisters,Indie,Adventure
the-suicide-of-rachel-foster,The Suicide of Rachel Foster,Casual,Indie
journey-to-the-savage-planet,Journey to the Savage Planet,Adventure,Action
spiritfire,Spiritfarer,Indie,Adventure
through-the-darkest-of-times,Through the Darkest of Times,Educational,Adventure
dragon-ball-z-kakarot,Dragon Ball Z: Kakarot,Action,RPG
builders-of-egypt-prologue,Builders of Egypt: Prologue,Indie,Simulation
alders-blood-prologue,Alder's Blood Prologue,Indie,Strategy
wolcen-lords-of-mayhem,Wolcen: Lords of Mayhem,Indie,Adventure
xcom-chimera-squad,XCOM: Chimera Squad,Strategy,none
moving-out-2,Moving Out,Casual,Indie
call-of-duty-black-ops-cold-war,Call of Duty: Black Ops Cold War,Shooter,none
marvels-spider-man-miles-morales,Marvel's Spider-Man: Miles Morales,Action,none
crash-bandicoot-4-its-about-time,Crash Bandicoot 4: It’s About Time,Platformer,Action
unfortunate-spacemen,Unfortunate Spacemen,Indie,Action
cloudpunk,Cloudpunk,Indie,Adventure
iron-danger,Iron Danger,Indie,Adventure
thems-fightin-herds,Them's Fightin' Herds,Indie,Action
stoneshard,Stoneshard,Indie,Strategy
tell-me-why,Tell Me Why,Adventure,none
tetris-effect-connected,Tetris Effect: Connected,Puzzle,none
bleeding-edge,Bleeding Edge,Action,none
warcraft-iii-reforged,Warcraft III: Reforged,Strategy,RPG
desperados-iii,Desperados III,Strategy,Action
fifa-21,FIFA 21,Simulation,Sports
fae-tactics,Fae Tactics,Strategy,RPG
temtem,Temtem,Massively Multiplayer,Adventure
totally-reliable-delivery-service,Totally Reliable Delivery Service,Indie,Action
yakuza-7,Yakuza: Like a Dragon,Action,RPG
hyper-scape,Hyper Scape,Shooter,Action
crucible-2,Crucible,Action,none
rogue-company,Rogue Company,Shooter,Adventure
west-of-dead,West of Dead,Indie,Shooter
serious-sam-4-planet-badass,Serious Sam 4,Shooter,Adventure
crucible-beta,Crucible Beta,Action,none
undermine,UnderMine,Indie,Adventure
dreams,Dreams,Adventure,Action
call-of-duty-warzone,Call of Duty: Warzone,Shooter,none
cyrano-story,Cyrano Story,Indie,Adventure
snowrunner,SnowRunner,Racing,Simulation
the-dark-pictures-anthology-little-hope,The Dark Pictures Anthology: Little Hope,Adventure,Action
black-book-prologue,Black Book: Prologue,Indie,Strategy
neon-abyss,Neon Abyss,Platformer,Shooter
samsara-room,Samsara Room,Indie,Adventure
spelunky-2,Spelunky 2,Platformer,Indie
command-conquer-remastered,Command & Conquer Remastered Collection,Strategy,none
the-walking-dead-saints-sinners,The Walking Dead: Saints & Sinners,Adventure,Action
hotshot-racing,Hotshot Racing,Racing,Indie
maneater,Maneater,Indie,Adventure
f1-2020,F1 2020,Racing,Simulation
coffee-talk,Coffee Talk,Casual,Indie
xenoblade-chronicles-definitive-edition,Xenoblade Chronicles: Definitive Edition,RPG,none
amnesia-rebirth,Amnesia: Rebirth,Indie,Adventure
grounded-2,Grounded,Indie,Adventure
spongebob-squarepants-battle-for-bikini-bottom-reh,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,Family,Platformer
mortal-shell,Mortal Shell,Action,RPG
valorant,Valorant,Shooter,Strategy
monster-train,Monster Train,Strategy,none
trials-of-mana,Trials of Mana (2020),RPG,none
mini-motor-racing-x,Mini Motor Racing X,Racing,Indie
gunfire-reborn,Gunfire Reborn,Shooter,Adventure
minecraft-dungeons,Minecraft: Dungeons,Adventure,Action
kingdoms-of-amalur-re-reckoning,Kingdoms of Amalur: Re-Reckoning,Adventure,Action
iron-harvest,Iron Harvest,Strategy,Action
age-of-empires-iii-definitive-edition,Age of Empires III: Definitive Edition,Strategy,none
townscaper,Townscaper,Casual,Indie
13-sentinels-aegis-rim,13 Sentinels: Aegis Rim,Adventure,RPG
control-the-foundation,Control: The Foundation,Shooter,Adventure
aquanox-deep-descent,Aquanox Deep Descent,Action,RPG
saints-row-the-third-remastered,Saints Row: The Third Remastered,Adventure,Action
bloodrayne-terminal-cut,BloodRayne: Terminal Cut,Action,none
rocket-arena-2,Rocket Arena,Shooter,Action
the-pedestrian,The Pedestrian,Indie,Platformer
the-wonderful-101-remastered,THE WONDERFUL 101: REMASTERED,Adventure,Action
world-of-horror,WORLD OF HORROR,Indie,RPG
bloodrayne-2-terminal-cut,BloodRayne 2: Terminal Cut,Action,none
bpm-bullets-per-minute,BPM: BULLETS PER MINUTE,Indie,Shooter
soda-dungeon-2,Soda Dungeon 2,Casual,Adventure
the-white-door,The White Door,Indie,Adventure
spellforce-3-versus-edition,SpellForce 3: Versus Edition,Strategy,none
paper-mario-the-origami-king,Paper Mario: The Origami King,Adventure,Action
skater-xl,Skater XL,Indie,Action
bless-unleashed,Bless Unleashed,Massively Multiplayer,RPG
scourgebringer,ScourgeBringer,Indie,Adventure
yes-your-grace,"Yes, Your Grace",Strategy,Adventure
dreamscaper-prologue,Dreamscaper: Prologue,Indie,Action
metro-exodus-sams-story,Metro Exodus: Sam's Story,Shooter,Action
the-complex,The Complex,Adventure,Simulation
hardspace-shipbreaker,Hardspace: Shipbreaker,Simulation,none
curse-of-the-dead-gods,Curse of the Dead Gods,Adventure,Action
granblue-fantasy-versus,Granblue Fantasy: Versus,Action,Fighting
observer-system-redux,Observer: System Redux,Adventure,none
drake-hollow,Drake Hollow,Indie,Adventure
disintegration-2,Disintegration,Shooter,Strategy
dirt-5,DiRT 5,Racing,none
succubus-prologue,SUCCUBUS: Prologue,Indie,Adventure
exit-the-gungeon,Exit the Gungeon,Indie,Platformer
frog-fractions-game-of-the-decade-edition,Frog Fractions: Game of the Decade Edition,Adventure,Action
visage,Visage,Indie,Adventure
myrdalssandur-iceland,"Mýrdalssandur, Iceland",Casual,Indie
demons-souls-remake,Demon's Souls (2020),Action,none
battletoads-2019,Battletoads (2020),Platformer,Fighting
mass-effect-andromeda-deluxe-edition,Mass Effect: Andromeda Deluxe Edition,Action,RPG
syberia-the-world-before-prologue,Syberia: The World Before - Prologue,Adventure,none
coloring-game-2-2,Coloring Game 2,Casual,Indie
new-world-2,New World,Massively Multiplayer,Adventure
xiii-remake,XIII - Remake,Shooter,Action
torchlight-iii,Torchlight III,Adventure,Action
teardown-2,Teardown,Strategy,Indie
west-of-dead-beta,West of Dead Beta,Indie,Action
destroy-all-humans-2019,Destroy All Humans! (2020),Shooter,Action
hyperdot,HyperDot,Indie,Action
the-longing,THE LONGING,Indie,Adventure
island-saver,Island Saver,Adventure,Action
godfall,Godfall,Action,RPG
persona-5-scramble-the-phantom-strikers,Persona 5 Scramble: The Phantom Strikers,Action,RPG
creaks,Creaks,Indie,Adventure
biped,Biped,Adventure,Action
the-riftbreaker-prologue,The Riftbreaker: Prologue,Adventure,Action
nba-2k21,NBA 2K21,Simulation,Sports
hellpoint-the-thespian-feast,Hellpoint: The Thespian Feast,Indie,Adventure
post-void,Post Void,Shooter,Indie
total-war-saga-troy,Total War Saga: TROY,Strategy,Action
rogue-legacy-2,Rogue Legacy 2,Indie,Adventure
hellpoint,Hellpoint,Indie,Adventure
the-pathless,The Pathless,Adventure,Action
beautiful-desolation,BEAUTIFUL DESOLATION,Casual,Indie
black-skylands-origins,Black Skylands: Origins,Indie,Adventure
carto,Carto,Indie,Adventure
yakuza-remastered-collection,Yakuza Remastered Collection,Action,none
crysis-remastered,Crysis Remastered,Shooter,Adventure
mass-effect-3-n7-digital-deluxe-edition,Mass Effect 3 N7 Digital Deluxe Edition,Strategy,Action
super-mario-3d-all-stars,Super Mario 3D All-Stars,Platformer,Action
roki,Röki,Indie,Adventure
the-last-campfire,The Last Campfire,Indie,Adventure
legends-of-runeterra,Legends of Runeterra,Card,Strategy
mega-man-zerozx-legacy-collection,Mega Man Zero/ZX Legacy Collection,Platformer,Action
othercide,Othercide,Strategy,Indie
ninja-kiwi-archive,Ninja Kiwi Archive,Casual,Strategy
hidden-through-time,Hidden Through Time,Casual,Educational
kill-it-with-fire-ignition,Kill It With Fire: Ignition,Casual,Indie
drug-dealer-simulator-free-sample,Drug Dealer Simulator: Free Sample,Casual,Indie
littlewood,Littlewood,Casual,Indie
luna-the-shadow-dust,LUNA The Shadow Dust,Indie,none
star-renegades,Star Renegades,Strategy,Indie
