PublisherKey,PublisherName,NumberGamesPublished,AsOfFullDate
devolver-digital,Devolver Digital,126.0,2020-11-29
sony-interactive-entertainment,Sony Interactive Entertainment,287.0,2020-11-29
bethesda-softworks,Bethesda Softworks,154.0,2020-11-29
2k-games,2K Games,190.0,2020-11-29
valve,Valve,41.0,2020-11-29
microsoft-studios,Microsoft Studios,462.0,2020-11-29
square-enix,Square Enix,467.0,2020-11-29
superhot-team,SUPERHOT Team,3.0,2020-11-29
capcom,Capcom,552.0,2020-11-29
supergiant-games,Supergiant Games,4.0,2020-11-29
wube-software-ltd,Wube Software LTD.,1.0,2020-11-29
annapurna-interactive,Annapurna Interactive,25.0,2020-11-29
gearbox-publishing,Gearbox Publishing,11.0,2020-11-29
vanripper,vanripper,1.0,2020-11-29
dotemu,DotEmu,33.0,2020-11-29
sega-2,SEGA,1089.0,2020-11-29
mihoyo-limited,miHoYo Limited,2.0,2020-11-29
ubisoft-entertainment,Ubisoft Entertainment,980.0,2020-11-29
nintendo,Nintendo,1161.0,2020-11-29
atlus,Atlus,223.0,2020-11-29
activision-blizzard,Activision Blizzard,727.0,2020-11-29
deep-silver,Deep Silver,169.0,2020-11-29
taleworlds-entertainment,TaleWorlds Entertainment,5.0,2020-11-29
offworld-industries,Offworld Industries,4.0,2020-11-29
505-games,505 Games,142.0,2020-11-29
handygames,HandyGames,37.0,2020-11-29
paradox-interactive,Paradox Interactive,244.0,2020-11-29
terrible-toybox,Terrible Toybox,2.0,2020-11-29
flashbulb,Flashbulb,2.0,2020-11-29
daedalic-entertainment,Daedalic Entertainment,78.0,2020-11-29
larian-studios,Larian Studios,13.0,2020-11-29
kinetic-games,Kinetic Games,1.0,2020-11-29
all-in-games,All in! Games,16.0,2020-11-29
aspyr,Aspyr,96.0,2020-11-29
nolla-games,Nolla Games,1.0,2020-11-29
electronic-arts,Electronic Arts,1226.0,2020-11-29
devespresso-games,Devespresso Games,3.0,2020-11-29
thunder-lotus-games,Thunder Lotus Games,4.0,2020-11-29
bandai-namco-entertainment,Bandai Namco Entertainment,482.0,2020-11-29
playway-sa-3,PlayWay S.A.,87.0,2020-11-29
no-gravity-games,No Gravity Games,6.0,2020-11-29
