DeveloperKey,DeveloperName,NumberGamesDeveloped,AsOfFullDate
relantless-studios,Relantless Studios,2,2020-11-29
hi-rez-studios,Hi-Rez Studios,29,2020-11-29
upstream-arcade,Upstream Arcade,2,2020-11-29
croteam,Croteam,29,2020-11-29
relentless-studios,Relentless Studios,1,2020-11-29
adam-mclellan,Adam McLellan,2,2020-11-29
media-molecule,Media Molecule,9,2020-11-29
beenox,Beenox,31,2020-11-29
alice-smith,Alice & Smith,4,2020-11-29
saber-interactive,Saber Interactive,18,2020-11-29
supermassive-games,Supermassive Games,11,2020-11-29
morteshka,Morteshka,3,2020-11-29
veewo-games,Veewo Games,9,2020-11-29
rusty-lake,Rusty Lake,18,2020-11-29
blitworks-2,BlitWorks,8,2020-11-29
petroglyph,Petroglyph,20,2020-11-29
skydance-interactive,Skydance Interactive,4,2020-11-29
sumo-digital,Sumo Digital,31,2020-11-29
blindside-interactive,Blindside Interactive,1,2020-11-29
codemasters,Codemasters,95,2020-11-29
toge-productions,Toge Productions,15,2020-11-29
frictional-games,Frictional Games,9,2020-11-29
obsidian-entertainment,Obsidian Entertainment,36,2020-11-29
purple-lamp-studios,Purple Lamp Studios,2,2020-11-29
playstack,PlayStack,5,2020-11-29
riot-games,Riot Games,9,2020-11-29
shiny-shoe,Shiny Shoe,2,2020-11-29
the-binary-mill,The Binary Mill,14,2020-11-29
duoyi,Duoyi,2,2020-11-29
double-eleven,Double Eleven,19,2020-11-29
big-huge-games,Big Huge Games,9,2020-11-29
king-art,KING Art,20,2020-11-29
tantalus-media,Tantalus Media,5,2020-11-29
oskar-stalberg,Oskar Stålberg,1,2020-11-29
vanillaware,VanillaWare,6,2020-11-29
remedy-entertainment,Remedy Entertainment,15,2020-11-29
digital-arrow,Digital Arrow,2,2020-11-29
volition,Volition,31,2020-11-29
terminal-reality,Terminal Reality,31,2020-11-29
final-strike-games,Final Strike Games,2,2020-11-29
skookum-arts-llc,Skookum Arts LLC,1,2020-11-29
platinumgames,Platinum Games,33,2020-11-29
panstasz,panstasz,2,2020-11-29
awe-interactive,Awe Interactive,1,2020-11-29
an-productions,AN Productions,2,2020-11-29
grimlore-games,Grimlore Games,4,2020-11-29
easy-day-studios-pty-ltd,Easy Day Studios Pty Ltd,1,2020-11-29
e-studio,E-Studio,2,2020-11-29
brave-at-night,Brave At Night,1,2020-11-29
afterburner-studios,Afterburner Studios,3,2020-11-29
4a-games,4A Games,15,2020-11-29
wales-interactive,Wales Interactive,18,2020-11-29
blackbird-interactive,Blackbird Interactive,3,2020-11-29
passtech-games,Passtech Games,5,2020-11-29
arc-system-works,Arc System Works,82,2020-11-29
anshar-studios,Anshar Studios,6,2020-11-29
the-molasses-flood,The Molasses Flood,2,2020-11-29
v1-interactive,V1 Interactive,1,2020-11-29
madmind-studio,Madmind Studio,4,2020-11-29
dodge-roll,Dodge Roll,3,2020-11-29
twinbeard,Twinbeard,5,2020-11-29
sadsquare-studio,SadSquare Studio,1,2020-11-29
caves-rd,caves rd,6,2020-11-29
bluepoint-games,Bluepoint Games,8,2020-11-29
dlala-studios,Dlala Studios,4,2020-11-29
bioware,BioWare,62,2020-11-29
koalabs,Koalabs,5,2020-11-29
l-stotch,L. Stotch,22,2020-11-29
amazon-game-studios,Amazon Game Studios,4,2020-11-29
playmagic,PlayMagic,1,2020-11-29
echtra-inc,Echtra Inc.,1,2020-11-29
tuxedo-labs,Tuxedo Labs,1,2020-11-29
black-forest-games,Black Forest Games,13,2020-11-29
tribe-games,Tribe Games,2,2020-11-29
studio-seufz,Studio Seufz,1,2020-11-29
stormcloud-games-limited,Stormcloud Games Limited,2,2020-11-29
counterplay-games-inc,Counterplay Games Inc.,2,2020-11-29
omega-force,Omega Force,38,2020-11-29
amanita-design,Amanita Design,17,2020-11-29
next-studio,Next Studio,4,2020-11-29
exor-studios,Exor Studios,6,2020-11-29
visual-concepts,Visual Concepts,78,2020-11-29
cradle-games,Cradle Games,2,2020-11-29
ycjy-games,YCJY Games,3,2020-11-29
creative-assembly,Creative Assembly,65,2020-11-29
cellar-door-games,Cellar Door Games,3,2020-11-29
annapurna-interactive,Annapurna Interactive,9,2020-11-29
the-brotherhood,THE BROTHERHOOD,4,2020-11-29
hungry-couch-games,Hungry Couch Games,2,2020-11-29
sunhead-games,Sunhead Games,4,2020-11-29
polygon-treehouse,Polygon Treehouse,1,2020-11-29
hello-games,Hello Games,5,2020-11-29
lightbulb-crew,Lightbulb Crew,3,2020-11-29
ninja-kiwi,Ninja Kiwi,36,2020-11-29
crazy-monkey-studios,Crazy Monkey Studios,7,2020-11-29
casey-donnellan-games-llc,Casey Donnellan Games LLC,3,2020-11-29
byterunners-game-studio,Byterunners Game Studio,2,2020-11-29
sean-young,Sean Young,3,2020-11-29
coconut-island-games,Coconut Island Games,4,2020-11-29
massive-damage-inc,"Massive Damage, Inc.",4,2020-11-29
e-line-media,E-Line Media,4,2020-11-29
terri-vellmann,Terri Vellmann,4,2020-11-29
pyro-studios,Pyro Studios,13,2020-11-29
illfonic,IllFonic,6,2020-11-29
5-lives-studios,5 Lives Studios,2,2020-11-29
toplitz-productions,Toplitz Productions,5,2020-11-29
windwalk-games,Windwalk Games,1,2020-11-29
washbear,WashBear,1,2020-11-29
tobias-springer,Tobias Springer,3,2020-11-29
mindful-mammoth,Mindful Mammoth,1,2020-11-29
lost-pilgrims-studio,Lost Pilgrims Studio,2,2020-11-29
jutsu-games,Jutsu Games,4,2020-11-29
fantastic-passion,Fantastic Passion,1,2020-11-29
bandai-namco-entertainment,Bandai Namco Entertainment,233,2020-11-29
schell-games,Schell Games,13,2020-11-29
neowiz,NEOWIZ,33,2020-11-29
arclight-creations,Arclight Creations,1,2020-11-29
nimble-giant-entertainment,Nimble Giant Entertainment,1,2020-11-29
alter-games,Alter Games,1,2020-11-29
ay-games,AY Games,1,2020-11-29
anvil-game-studios,Anvil Game Studios,1,2020-11-29
jump-over-the-age,Jump Over The Age,4,2020-11-29
wayforward-technologies,WayForward Technologies,65,2020-11-29
mike-and-jason,Mike and Jason,1,2020-11-29
rebellion,Rebellion,50,2020-11-29
jackbox-games-inc,"Jackbox Games, Inc.",20,2020-11-29
draw-me-a-pixel,Draw Me A Pixel,4,2020-11-29
arsi-hakita-patala,"Arsi ""Hakita"" Patala",2,2020-11-29
soleil-ltd,Soleil Ltd.,3,2020-11-29
pathea-games,Pathea Games,7,2020-11-29
proletariat-inc,Proletariat Inc.,3,2020-11-29
fishtankstudio,FishTankStudio,3,2020-11-29
criterion-games,Criterion Games,23,2020-11-29
southpaw-games,SouthPAW Games,1,2020-11-29
atomteam,AtomTeam,3,2020-11-29
comongames,ComonGames,5,2020-11-29
level-91-entertainment,Level 91 Entertainment,2,2020-11-29
hitcentscom-inc,"Hitcents.com, Inc.",18,2020-11-29
yi-jia-song-shu,汉家松鼠,1,2020-11-29
behold-studios,Behold Studios,7,2020-11-29
digital-eclipse,Digital Eclipse,44,2020-11-29
theta-division,Theta Division,2,2020-11-29
nadeo,Nadeo,19,2020-11-29
paper-cult,Paper Cult,2,2020-11-29
sobaka-studio,Sobaka Studio,3,2020-11-29
mimimi-games,Mimimi Games,3,2020-11-29
camouflaj-llc,Camouflaj LLC,2,2020-11-29
inti-creates,Inti Creates,35,2020-11-29
stormind-games,Stormind Games,2,2020-11-29
edelweiss,Edelweiss,5,2020-11-29
tinybuild,tinyBuild,33,2020-11-29
hyperstrange,Hyperstrange,2,2020-11-29
nodding-heads-games,Nodding Heads Games,2,2020-11-29
turtleblaze,TurtleBlaze,2,2020-11-29
revolution-software,Revolution Software,21,2020-11-29
sony-interactive-entertainment,Sony Interactive Entertainment,649,2020-11-29
robert-wahler,Robert Wahler,2,2020-11-29
tactical-adventures,Tactical Adventures,1,2020-11-29
yc-games-2,YC Games,1,2020-11-29
duality-games,Duality Games,5,2020-11-29
futurlab,FuturLab,8,2020-11-29
atomic-wolf,Atomic Wolf,5,2020-11-29
slightly-mad-studios,Slightly Mad Studios,19,2020-11-29
chibig,Chibig,3,2020-11-29
next-studios,NEXT Studios,7,2020-11-29
talvisota-team,Talvisota Team,1,2020-11-29
aniki,Aniki,1,2020-11-29
dreams-uncorporated,Dreams Uncorporated,2,2020-11-29
vertigo-gaming,Vertigo Gaming,20,2020-11-29
team17-digital,Team17 Digital,100,2020-11-29
funselektor-labs-inc,Funselektor Labs Inc.,2,2020-11-29
beard-envy,Beard Envy,1,2020-11-29
mason-lindroth,Mason Lindroth,6,2020-11-29
fireproof-games,Fireproof Games,7,2020-11-29
glumberland,Glumberland,1,2020-11-29
big-ant-studios,Big Ant Studios,25,2020-11-29
gust-corporation,Gust Corporation,32,2020-11-29
pyramid,Pyramid,7,2020-11-29
cbe-software,CBE Software,3,2020-11-29
red-six-development,Red Six Development,1,2020-11-29
maitan69-matias-schmied,maitan69 (Matías Schmied),2,2020-11-29
camel-101,Camel 101,5,2020-11-29
rake-in-grass,Rake in Grass,16,2020-11-29
matt-roszak,Matt Roszak,6,2020-11-29
serenity-forge,Serenity Forge,12,2020-11-29
undead-labs,Undead Labs,10,2020-11-29
austin-oblouk,Austin Oblouk,1,2020-11-29
studio-oleomingus,Studio Oleomingus,8,2020-11-29
kaizen-game-works,Kaizen Game Works,1,2020-11-29
story-fort-llc,Story Fort LLC,1,2020-11-29
aggro-crab,Aggro Crab,1,2020-11-29
deqaf-studio,Deqaf Studio,5,2020-11-29
runeheads,RuneHeads,2,2020-11-29
enplex-games,Enplex Games,1,2020-11-29
dry-cactus,Dry Cactus,2,2020-11-29
terrible-posture-games,Terrible Posture Games,3,2020-11-29
nicolasmey,NicolasMey,2,2020-11-29
chobolabs-llc,Chobolabs LLC,1,2020-11-29
dr-pinkcake,Dr PinkCake,2,2020-11-29
portaplay,PortaPlay,2,2020-11-29
maybe-later-games,Maybe Later Games,2,2020-11-29
saibot-studios,Saibot Studios,7,2020-11-29
paladin-studios,Paladin Studios,3,2020-11-29
young-horses,Young Horses,3,2020-11-29
sneaky-bastards,Sneaky Bastards,1,2020-11-29
team-ladybug,Team Ladybug,4,2020-11-29
seenapsis-studio,Seenapsis Studio,1,2020-11-29
gniller,Gniller,1,2020-11-29
glass-heart-games,Glass Heart Games,1,2020-11-29
agenda,Agenda,3,2020-11-29
draknek,Draknek,9,2020-11-29
playdigious,Playdigious,22,2020-11-29
noio,Noio,6,2020-11-29
vewo-interactive-inc,VEWO INTERACTIVE INC.,3,2020-11-29
rising-star-games,Rising Star Games,21,2020-11-29
unexpected,Unexpected,4,2020-11-29
bithell-games,Bithell Games,5,2020-11-29
konami-digital-entertainment,Konami Digital Entertainment,415,2020-11-29
conor-petersen,Conor Petersen,1,2020-11-29
art-in-heart,Art in Heart,4,2020-11-29
ronimo-games,Ronimo Games,13,2020-11-29
owned-by-gravity,Owned by Gravity,3,2020-11-29
byking,Byking,2,2020-11-29
spike-chunsoft-co-ltd,"Spike Chunsoft Co., Ltd.",19,2020-11-29
ace-team,ACE Team,12,2020-11-29
ovid-works,Ovid Works,2,2020-11-29
tomas-sala,Tomas Sala,1,2020-11-29
frontier-developments,Frontier Developments,35,2020-11-29
team8-studio,Team8 Studio,1,2020-11-29
nexon,Nexon,13,2020-11-29
girlgame,GirlGame,7,2020-11-29
netherrealm-studios,NetherRealm Studios,11,2020-11-29
wolfire-games,Wolfire Games,6,2020-11-29
gaming-minds,Gaming Minds,2,2020-11-29
double-w,Double W,4,2020-11-29
granzella-inc,Granzella Inc.,3,2020-11-29
germfood,germfood,2,2020-11-29
rogue-factor,Rogue Factor,3,2020-11-29
heluo-studio,Heluo Studio,4,2020-11-29
japan-studio,Japan Studio,6,2020-11-29
muse-games,Muse Games,8,2020-11-29
hb-studios-multimedia-ltd,HB Studios Multimedia Ltd.,2,2020-11-29
zanardi-and-liza,Zanardi and Liza,3,2020-11-29
virtual-basement-llc,Virtual Basement LLC,6,2020-11-29
a2-softworks,A2 Softworks,3,2020-11-29
compile-heart,Compile Heart,45,2020-11-29
mandragora,Mandragora,3,2020-11-29
the-bearded-ladies,The Bearded Ladies,3,2020-11-29
idea-factory,Idea Factory,63,2020-11-29
rg-crew,RG Crew,3,2020-11-29
harmonix,Harmonix,9,2020-11-29
hollow-ponds,Hollow Ponds,3,2020-11-29
electrostalin-entertainment,ELECTROSTALIN ENTERTAINMENT,4,2020-11-29
respawn-entertainment,Respawn Entertainment,8,2020-11-29
green-lava-studios,Green Lava Studios,7,2020-11-29
trendy-entertainment,Trendy Entertainment,3,2020-11-29
joycity,Joycity,5,2020-11-29
origame-digital,ORIGAME DIGITAL,1,2020-11-29
free-reign-entertainment-llc,Free Reign Entertainment LLC,1,2020-11-29
happy-ray-games,Happy Ray Games,1,2020-11-29
wonderbelly-games,Wonderbelly Games,1,2020-11-29
dsgame,DSGame,10,2020-11-29
gato-studio,GATO STUDIO,2,2020-11-29
07th-expansion,07th Expansion,16,2020-11-29
echo-entertainment,Echo Entertainment,1,2020-11-29
degica,Degica,3,2020-11-29
jacktostudios,jacktostudios,1,2020-11-29
sand-sailor-studio,Sand Sailor Studio,2,2020-11-29
the-wild-gentlemen,The Wild Gentlemen,1,2020-11-29
fredaikis-ab,Fredaikis AB,3,2020-11-29
switch-fire-games,Switch Fire Games,8,2020-11-29
big-blue-bubble,Big Blue Bubble,41,2020-11-29
nicolai-danielsen,Nicolai Danielsen,2,2020-11-29
megapixel-studio,Megapixel studio,1,2020-11-29
bungie-inc,"Bungie, Inc.",23,2020-11-29
tender-claws-llc,Tender Claws LLC,2,2020-11-29
spicy-gyro-games,Spicy Gyro Games,3,2020-11-29
evc,EVC,1,2020-11-29
runner-duck,Runner Duck,2,2020-11-29
jason-oda,Jason Oda,3,2020-11-29
camex-games,Camex Games,3,2020-11-29
delve-interactive,Delve Interactive,2,2020-11-29
escapism-artworks,Escapism Artworks,1,2020-11-29
beam-software-pty-ltd,"Beam Software Pty., Ltd.",4,2020-11-29
starcolt,Starcolt,1,2020-11-29
montebearo,MonteBearo,2,2020-11-29
marvelous-inc-2,Marvelous Inc.,26,2020-11-29
supersexysoftware,SuperSexySoftware,1,2020-11-29
jacek-perzanowski,Jacek Perzanowski,1,2020-11-29
gungho-online-entertainment-america-inc,"GungHo Online Entertainment America, Inc.",3,2020-11-29
the-epiclore,The EpicLore,2,2020-11-29
mutable-realms,Mutable Realms,1,2020-11-29
troglobytes-games,Troglobytes Games,2,2020-11-29
crenetic-gmbh-studios,Crenetic GmbH Studios,7,2020-11-29
koei-tecmo-games-co-ltd,"KOEI TECMO GAMES CO., LTD.",6,2020-11-29
fabio-ferrara,Fabio Ferrara,11,2020-11-29
valofe-nexon,"VALOFE, NEXON",1,2020-11-29
creobit,Creobit,70,2020-11-29
one-up-plus-entertainment,One Up Plus Entertainment,4,2020-11-29
fishing-cactus,Fishing Cactus,11,2020-11-29
kylotonn-entertainment,Kylotonn Entertainment,29,2020-11-29
nihon-falcom,Nihon Falcom,43,2020-11-29
pixel-pushers-union-512,Pixel Pushers Union 512,1,2020-11-29
dendo-denkido,Dendo Denkido,1,2020-11-29
lonely-troops,Lonely Troops,9,2020-11-29
lil-hentai-games,Lil Hentai Games,6,2020-11-29
thunder-lotus,Thunder Lotus,3,2020-11-29
eyaura,Eyaura,1,2020-11-29
aquria-co-ltd,"AQURIA Co., Ltd.",2,2020-11-29
stormling-studios,Stormling Studios,1,2020-11-29
btf,btf,2,2020-11-29
nearga,Nearga,1,2020-11-29
caustic-reality,Caustic Reality,2,2020-11-29
mighty-polygon,Mighty Polygon,2,2020-11-29
beam-software,Beam Software,64,2020-11-29
milestone-srl,Milestone S.r.l.,34,2020-11-29
chill-play,CHILL & PLAY,3,2020-11-29
awesome-games-studio,Awesome Games Studio,10,2020-11-29
allods-team,Allods Team,5,2020-11-29
playmestudio,Playmestudio,1,2020-11-29
metalhead-software-inc,Metalhead Software Inc.,4,2020-11-29
palindrome-interactive,Palindrome Interactive,1,2020-11-29
errol-bucy,Errol Bucy,3,2020-11-29
zordix-racing,Zordix Racing,1,2020-11-29
the-moonwalls,The Moonwalls,3,2020-11-29
bad-yolk-games,Bad Yolk Games,2,2020-11-29
gametrek,GameTrek,2,2020-11-29
704games-company,704Games Company,3,2020-11-29
hamsters-gaming,Hamsters Gaming,7,2020-11-29
artefacts-studio,Artefacts Studio,9,2020-11-29
ultimate-games-sa,Ultimate Games S.A.,6,2020-11-29
g1-playground,G1 Playground,4,2020-11-29
studio-aurum,Studio Aurum,1,2020-11-29
lightup,LightUp,10,2020-11-29
sowoke-entertainment-bureau,Sowoke Entertainment Bureau,3,2020-11-29
bad-vices-games,Bad Vices Games,1,2020-11-29
ubisoft-mainz,Ubisoft Mainz,1,2020-11-29
thinice-games,Thinice Games,1,2020-11-29
caligari-games,Caligari Games,3,2020-11-29
crazybunch,CrazyBunch,4,2020-11-29
chillas-art,Chilla's Art,15,2020-11-29
star-drifters,Star Drifters,3,2020-11-29
caz,Caz,5,2020-11-29
urnique-studio,Urnique Studio,1,2020-11-29
cute-girl,Cute girl,1,2020-11-29
2-stupid-devs,2 Stupid Devs,1,2020-11-29
chengdu-dreamcaller-technology-coltd,"CHENGDU DREAMCALLER TECHNOLOGY CO.,LTD",1,2020-11-29
dmm-games,DMM Games,2,2020-11-29
playables,Playables,8,2020-11-29
game-in-a-bottle,Game in a Bottle,2,2020-11-29
kirillkrm,Kirillkrm,2,2020-11-29
bonusxp,BonusXP,4,2020-11-29
draw-distance,Draw Distance,5,2020-11-29
aquria,AQURIA,3,2020-11-29
the-men-who-wear-many-hats,The Men Who Wear Many Hats,4,2020-11-29
techland,Techland,50,2020-11-29
beautiful-glitch,Beautiful Glitch,3,2020-11-29
bambuseaegames,BambuseaeGames,2,2020-11-29
oceans-dream,Ocean's Dream,1,2020-11-29
almaz,Almaz,1,2020-11-29
ruan-xing-ke-ji-shang-hai-you-xian-gong-si,软星科技（上海）有限公司,1,2020-11-29
triple-b-titles,Triple-B-Titles,2,2020-11-29
novalink,Novalink,5,2020-11-29
esquadrainc,"ESQUADRA,inc.",5,2020-11-29
steppe-hare-studio,Steppe Hare Studio,7,2020-11-29
flametorch,Flametorch,1,2020-11-29
stranga,Stranga,5,2020-11-29
team-terrible,Team Terrible,7,2020-11-29
