DeveloperKey,DeveloperName,NumberGamesDeveloped,AsOfFullDate
mediatonic,Mediatonic,12,2020-11-29
naughty-dog,Naughty Dog,23,2020-11-29
bethesda-softworks,Bethesda Softworks,65,2020-11-29
d3t,d3t,3,2020-11-29
valve-software,Valve Software,39,2020-11-29
sucker-punch-productions,Sucker Punch Productions,11,2020-11-29
moon-studios-gmbh,Moon Studios GmbH,3,2020-11-29
square-enix,Square Enix,295,2020-11-29
2k-czech,2K Czech,11,2020-11-29
superhot-team,SUPERHOT Team,3,2020-11-29
capcom,Capcom,395,2020-11-29
supergiant-games,Supergiant Games,7,2020-11-29
wube-software-ltd,Wube Software LTD.,1,2020-11-29
cardboard-computer,Cardboard Computer,8,2020-11-29
hopoo-games,Hopoo Games,3,2020-11-29
vanripper,vanripper,1,2020-11-29
dotemu,DotEmu,47,2020-11-29
hangar-13,Hangar 13,8,2020-11-29
empty-clip-studios,Empty Clip Studios,5,2020-11-29
mihoyo-limited,miHoYo Limited,2,2020-11-29
ubisoft,Ubisoft,298,2020-11-29
ubisoft-montreal,Ubisoft Montreal,107,2020-11-29
nintendo,Nintendo,396,2020-11-29
crystal-dynamics,Crystal Dynamics,37,2020-11-29
sega,SEGA,509,2020-11-29
atlus,Atlus,86,2020-11-29
infinity-ward,Infinity Ward,14,2020-11-29
phobia-game-studio,Phobia Game Studio,2,2020-11-29
splash-damage,Splash Damage,8,2020-11-29
inxile-entertainment-2,InXile Entertainment,16,2020-11-29
flying-wild-hog,Flying Wild Hog,9,2020-11-29
taleworlds-entertainment,TaleWorlds Entertainment,5,2020-11-29
offworld-industries,Offworld Industries,2,2020-11-29
3d-realms,3D Realms,9,2020-11-29
thq-nordic,THQ Nordic,66,2020-11-29
vicarious-visions,Vicarious Visions,58,2020-11-29
paradox-developement-studios,Paradox Developement Studios,1,2020-11-29
id-software,id Software,63,2020-11-29
terrible-toybox,Terrible Toybox,2,2020-11-29
flashbulb,Flashbulb,2,2020-11-29
indoor-astronaut,Indoor Astronaut,1,2020-11-29
larian-studios,Larian Studios,16,2020-11-29
kinetic-games,Kinetic Games,1,2020-11-29
tunnel-vision-games,Tunnel Vision Games,1,2020-11-29
asobo-studio,Asobo Studio,17,2020-11-29
nolla-games,Nolla Games,2,2020-11-29
electronic-arts,Electronic Arts,316,2020-11-29
team-ninja,Team NINJA,30,2020-11-29
devespresso-games,Devespresso Games,5,2020-11-29
one-o-one-games,ONE-O-ONE GAMES,2,2020-11-29
typhoon-studios,Typhoon studios,1,2020-11-29
thunder-lotus-games,Thunder Lotus Games,4,2020-11-29
paintbucket-games,Paintbucket Games,1,2020-11-29
cyberconnect2-co,CyberConnect2 Co.,42,2020-11-29
strategy-labs,Strategy Labs,2,2020-11-29
shockwork-games,Shockwork Games,2,2020-11-29
wolcen-studio,WOLCEN Studio,1,2020-11-29
firaxis,Firaxis,33,2020-11-29
devm-games,Devm Games,2,2020-11-29
raven-software,Raven Software,38,2020-11-29
insomniac-games,Insomniac Games,33,2020-11-29
toys-for-bob,Toys for Bob,18,2020-11-29
sandswept,Sandswept,1,2020-11-29
ion-lands,ION LANDS,2,2020-11-29
action-squad-studios,Action Squad Studios,1,2020-11-29
mane6-inc,"Mane6, Inc.",2,2020-11-29
ink-stains-games,Ink Stains Games,3,2020-11-29
dontnod-entertainment,DONTNOD Entertainment,9,2020-11-29
monstars-inc,Monstars Inc.,2,2020-11-29
ninja-theory,Ninja Theory,19,2020-11-29
blizzard-entertainment-inc,"Blizzard Entertainment, Inc.",51,2020-11-29
mimimi-productions,Mimimi Productions,5,2020-11-29
endlessfluff-games,Endlessfluff Games,3,2020-11-29
crema,Crema,2,2020-11-29
were-five-games,We're Five Games,3,2020-11-29
