GameKey,DateKey,DeveloperKey,PublisherKey,PlatfromKey,StoreKey,ESRBKey,PublicRating,Metacritic,Playtime,OwnerReviews
fall-guys,2020-08-04,mediatonic,devolver-digital,pc,steam,everyone,3.94,80.0,3,336
fall-guys,2020-08-04,mediatonic,devolver-digital,playstation4,playstation-store,everyone,3.94,80.0,3,336
the-last-of-us-part-2,2020-06-19,naughty-dog,sony-interactive-entertainment,playstation5,playstation-store,mature,4.38,93.0,0,641
the-last-of-us-part-2,2020-06-19,naughty-dog,sony-interactive-entertainment,playstation4,playstation-store,mature,4.38,93.0,0,641
doom-eternal,2020-03-20,bethesda-softworks,bethesda-softworks,pc,xbox-store,mature,4.37,88.0,15,408
doom-eternal,2020-03-20,bethesda-softworks,bethesda-softworks,pc,steam,mature,4.37,88.0,15,408
doom-eternal,2020-03-20,bethesda-softworks,bethesda-softworks,xbox-one,xbox-store,mature,4.37,88.0,15,408
doom-eternal,2020-03-20,bethesda-softworks,bethesda-softworks,playstation4,playstation-store,mature,4.37,88.0,15,408
doom-eternal,2020-03-20,bethesda-softworks,bethesda-softworks,nintendo-switch,nintendo,mature,4.37,88.0,15,408
mafia-ii-definitive-edition,2020-05-19,d3t,2k-games,pc,epic-games,not-yet-rated,3.52,65.0,2,116
mafia-ii-definitive-edition,2020-05-19,d3t,2k-games,pc,steam,not-yet-rated,3.52,65.0,2,116
mafia-ii-definitive-edition,2020-05-19,d3t,2k-games,pc,xbox-store,not-yet-rated,3.52,65.0,2,116
mafia-ii-definitive-edition,2020-05-19,d3t,2k-games,xbox-one,xbox-store,not-yet-rated,3.52,65.0,2,116
mafia-ii-definitive-edition,2020-05-19,d3t,2k-games,playstation4,playstation-store,not-yet-rated,3.52,65.0,2,116
dota-underlords,2020-02-25,valve-software,valve,pc,steam,not-yet-rated,3.22,,3,445
dota-underlords,2020-02-25,valve-software,valve,pc,google-play,not-yet-rated,3.22,,3,445
dota-underlords,2020-02-25,valve-software,valve,ios,apple-appstore,not-yet-rated,3.22,,3,445
