GameKey,DateKey,DeveloperKey,PublisherKey,PlatfromKey,StoreKey,ESRBKey,PublicRating,Metacritic,Playtime,OwnerReviews
apex-legends,2019-02-04,respawn-entertainment,electronic-arts,pc,steam,teen,3.66,88.0,3,1356
apex-legends,2019-02-04,respawn-entertainment,electronic-arts,pc,xbox-store,teen,3.66,88.0,3,1356
apex-legends,2019-02-04,respawn-entertainment,electronic-arts,xbox-one,xbox-store,teen,3.66,88.0,3,1356
apex-legends,2019-02-04,respawn-entertainment,electronic-arts,playstation4,playstation-store,teen,3.66,88.0,3,1356
apex-legends,2019-02-04,respawn-entertainment,electronic-arts,nintendo-switch,nintendo,teen,3.66,88.0,3,1356
apex-legends,2019-02-04,respawn-entertainment,electronic-arts,macos,apple-appstore,teen,3.66,88.0,3,1356
shadows-die-twice,2019-03-22,fromsoftware,activison,pc,steam,mature,4.35,90.0,17,1139
shadows-die-twice,2019-03-22,fromsoftware,activison,pc,xbox-store,mature,4.35,90.0,17,1139
shadows-die-twice,2019-03-22,fromsoftware,activison,xbox-one,xbox-store,mature,4.35,90.0,17,1139
shadows-die-twice,2019-03-22,fromsoftware,activison,playstation4,playstation-store,mature,4.35,90.0,17,1139
borderlands-game-of-the-year-enhanced,2019-04-03,gearbox-software,2k-games,pc,steam,adults-only,3.84,78.0,2,665
borderlands-game-of-the-year-enhanced,2019-04-03,gearbox-software,2k-games,xbox-one,xbox-store,adults-only,3.84,78.0,2,665
borderlands-game-of-the-year-enhanced,2019-04-03,gearbox-software,2k-games,playstation4,playstation-store,adults-only,3.84,78.0,2,665
devil-may-cry-5,2019-03-08,capcom,capcom,pc,steam,not-yet-rated,4.24,88.0,10,910
devil-may-cry-5,2019-03-08,capcom,capcom,pc,xbox-store,not-yet-rated,4.24,88.0,10,910
devil-may-cry-5,2019-03-08,capcom,capcom,xbox-one,xbox-store,not-yet-rated,4.24,88.0,10,910
devil-may-cry-5,2019-03-08,capcom,capcom,playstation4,playstation-store,not-yet-rated,4.24,88.0,10,910
control,2019-08-27,505-games,505-games,pc,gog,mature,4.18,84.0,5,736
control,2019-08-27,505-games,505-games,pc,epic-games,mature,4.18,84.0,5,736
control,2019-08-27,505-games,505-games,pc,xbox-store,mature,4.18,84.0,5,736
control,2019-08-27,505-games,505-games,pc,steam,mature,4.18,84.0,5,736
control,2019-08-27,505-games,505-games,playstation5,playstation-store,mature,4.18,84.0,5,736
control,2019-08-27,505-games,505-games,xbox-one,xbox-store,mature,4.18,84.0,5,736
control,2019-08-27,505-games,505-games,playstation4,playstation-store,mature,4.18,84.0,5,736
control,2019-08-27,505-games,505-games,xbox-series-x,xbox-store,mature,4.18,84.0,5,736
the-outer-worlds,2019-10-25,obsidian-entertainment,private-division,pc,gog,mature,3.96,80.0,6,722
the-outer-worlds,2019-10-25,obsidian-entertainment,private-division,pc,xbox-store,mature,3.96,80.0,6,722
the-outer-worlds,2019-10-25,obsidian-entertainment,private-division,pc,epic-games,mature,3.96,80.0,6,722
the-outer-worlds,2019-10-25,obsidian-entertainment,private-division,pc,steam,mature,3.96,80.0,6,722
the-outer-worlds,2019-10-25,obsidian-entertainment,private-division,xbox-one,xbox-store,mature,3.96,80.0,6,722
the-outer-worlds,2019-10-25,obsidian-entertainment,private-division,playstation4,playstation-store,mature,3.96,80.0,6,722
the-outer-worlds,2019-10-25,obsidian-entertainment,private-division,nintendo-switch,nintendo,mature,3.96,80.0,6,722
resident-evil-2-2019,2019-01-25,capcom,capcom,pc,xbox-store,mature,4.47,91.0,11,1154
resident-evil-2-2019,2019-01-25,capcom,capcom,pc,steam,mature,4.47,91.0,11,1154
resident-evil-2-2019,2019-01-25,capcom,capcom,xbox-one,xbox-store,mature,4.47,91.0,11,1154
resident-evil-2-2019,2019-01-25,capcom,capcom,playstation4,playstation-store,mature,4.47,91.0,11,1154
metro-exodus,2019-02-13,4a-games,deep-silver,pc,gog,mature,4.05,81.0,11,782
metro-exodus,2019-02-13,4a-games,deep-silver,pc,epic-games,mature,4.05,81.0,11,782
metro-exodus,2019-02-13,4a-games,deep-silver,pc,xbox-store,mature,4.05,81.0,11,782
metro-exodus,2019-02-13,4a-games,deep-silver,pc,steam,mature,4.05,81.0,11,782
metro-exodus,2019-02-13,4a-games,deep-silver,xbox-one,xbox-store,mature,4.05,81.0,11,782
metro-exodus,2019-02-13,4a-games,deep-silver,playstation4,playstation-store,mature,4.05,81.0,11,782
minion-masters,2019-05-24,betadwarf,betadwarf,pc,steam,not-yet-rated,2.41,,5,238
minion-masters,2019-05-24,betadwarf,betadwarf,pc,xbox-store,not-yet-rated,2.41,,5,238
minion-masters,2019-05-24,betadwarf,betadwarf,xbox-one,xbox-store,not-yet-rated,2.41,,5,238
a-plague-tale-innocence,2019-05-13,asobo-studio,focus-home-interactive,pc,gog,mature,4.18,82.0,5,556
a-plague-tale-innocence,2019-05-13,asobo-studio,focus-home-interactive,pc,xbox-store,mature,4.18,82.0,5,556
a-plague-tale-innocence,2019-05-13,asobo-studio,focus-home-interactive,pc,steam,mature,4.18,82.0,5,556
