GameKey,GameName,MainGenre,SubGenre
apex-legends,Apex Legends,Massively Multiplayer,Shooter
shadows-die-twice,Sekiro: Shadows Die Twice,Action,RPG
borderlands-game-of-the-year-enhanced,Borderlands Game of the Year Enhanced,Shooter,Action
devil-may-cry-5,Devil May Cry 5,Action,none
control,Control,Shooter,Adventure
the-outer-worlds,The Outer Worlds,Shooter,Adventure
resident-evil-2-2019,Resident Evil 2,Shooter,Adventure
metro-exodus,Metro Exodus,Shooter,Action
minion-masters,Minion Masters,Strategy,Indie
a-plague-tale-innocence,A Plague Tale: Innocence,Adventure,Action
days-gone,Days Gone,Adventure,Action
gears-5,Gears 5,Shooter,Action
borderlands-3,Borderlands 3,Shooter,Adventure
slay-the-spire,Slay the Spire,Card,Strategy
mortal-kombat-11,Mortal Kombat 11,Adventure,Action
disco-elysium,Disco Elysium,Indie,Adventure
my-friend-pedro,My Friend Pedro,Indie,Shooter
division-2,Tom Clancy’s The Division 2,Shooter,Adventure
dirt-rally-20,DiRT Rally 2.0,Racing,Simulation
kingdom-hearts-iii,Kingdom Hearts III,Adventure,Action
rage-2,RAGE 2,Shooter,Adventure
blasphemous,Blasphemous,Indie,Platformer
outer-wilds,Outer Wilds,Indie,Adventure
katana-zero,Katana ZERO,Platformer,Indie
astroneer,ASTRONEER,Indie,Adventure
bloodstained-ritual-of-the-night,Bloodstained: Ritual of the Night,Adventure,Action
untitled-goose-game,Untitled Goose Game,Indie,Family
my-time-at-portia,My Time At Portia,Casual,RPG
fifa-20,FIFA 20,Sports,none
void-bastards,Void Bastards,Strategy,Arcade
remnant-from-the-ashes,Remnant: From the Ashes,Adventure,Action
evoland-legendary-edition,Evoland Legendary Edition,Adventure,Action
far-cry-new-dawn,Far Cry New Dawn,Arcade,Shooter
baba-is-you,Baba Is You,Indie,Puzzle
anthem,Anthem,Shooter,Adventure
man-of-medan,The Dark Pictures Anthology: Man of Medan,Adventure,none
showdown-bandit,Showdown Bandit,Indie,Adventure
nba-2k20,NBA 2K20,Action,Simulation
assassins-creed-iii-remastered,Assassin's Creed III: Remastered,Adventure,Action
wargroove,Wargroove,Strategy,Indie
call-of-duty-modern-warfare,Call of Duty: Modern Warfare (2019),Shooter,Action
wolfenstein-youngblood,Wolfenstein: Youngblood,Shooter,Action
robocraftx,RobocraftX,Indie,Simulation
crash-team-racing-nitro-fueled,Crash Team Racing Nitro-Fueled,Racing,Family
dauntless,Dauntless,Casual,Massively Multiplayer
the-legend-of-zelda-links-awakening,The Legend of Zelda: Link's Awakening (2019),Adventure,Action
pathologic,Pathologic 2,Indie,Adventure
children-of-morta,Children of Morta,Indie,Adventure
ace-combat-7,ACE COMBAT 7: SKIES UNKNOWN,Arcade,Adventure
blair-witch-2019,Blair Witch,Indie,Adventure
greedfall,Greedfall,Adventure,Action
world-war-z,World War Z (2019),Shooter,Action
crackdown-3,Crackdown 3,Shooter,Action
fire-emblem-three-houses,Fire Emblem: Three Houses,Strategy,RPG
age-of-wonders-planetfall,Age of Wonders: Planetfall,Strategy,none
code-vein,CODE VEIN,Action,RPG
erica,Erica,Adventure,none
f1-2019,F1 2019,Racing,Simulation
efootball-pes-2020,eFootball PES 2020,Sports,none
supraland,Supraland,Indie,Adventure
generation-zero-2019,Generation Zero (2019),Shooter,Action
a-short-hike,A Short Hike,Indie,Adventure
mordhau,MORDHAU,Indie,Action
pikuniku-2,Pikuniku,Adventure,Action
yooka-laylee-and-the-impossible-lair,Yooka-Laylee and the Impossible Lair,Indie,Platformer
tropico-6,Tropico 6,Strategy,Simulation
luigis-mansion-3,Luigi's Mansion 3,Family,Action
trine-4-the-nightmare-prince,Trine 4: The Nightmare Prince,Platformer,Adventure
american-fugitive,American Fugitive,Indie,Adventure
resident-evil-2-biohazard-re2-1-shot-demo,Resident Evil 2 (1-Shot Demo),Action,none
we-were-here-together,We Were Here Together,Casual,Indie
islanders,ISLANDERS,Casual,Strategy
observation,Observation,Indie,Adventure
the-bards-tale-iv-directors-cut,The Bard's Tale IV: Director's Cut,RPG,none
barotrauma,Barotrauma,Strategy,Indie
astral-chain,Astral Chain,Action,none
ape-out,Ape Out,Indie,Action
tannenberg,Tannenberg,Shooter,Action
night-call,Night Call,Indie,Simulation
gods-trigger,God’s Trigger,Indie,Action
bright-memory,Bright Memory,Indie,Adventure
dark-future-blood-red-states,Dark Future: Blood Red States,Strategy,Indie
super-mario-maker-2,Super Mario Maker 2,Platformer,Action
the-occupation,The Occupation,Indie,Adventure
little-big-workshop,Little Big Workshop,Strategy,Simulation
legend-of-keepers-prologue,Legend of Keepers: Prologue,Strategy,Indie
