PublisherKey,PublisherName,NumberGamesPublished,AsOfFullDate
indiegala,IndieGala,10.0,2020-11-29
magic-design-studios,Magic Design Studios,1.0,2020-11-29
fig-publishing-inc,Fig Publishing Inc.,5.0,2020-11-29
bonusxp,BonusXP,2.0,2020-11-29
the-farm-51,The Farm 51,2.0,2020-11-29
wolfram-von-funck-aka-wollay,Wolfram von Funck (aka Wollay),1.0,2020-11-29
raiser-games,Raiser Games,4.0,2020-11-29
armor-games-studios,Armor Games Studios,19.0,2020-11-29
madruga-works,Madruga Works,2.0,2020-11-29
rebellion,Rebellion,42.0,2020-11-29
amanita-design,Amanita Design,8.0,2020-11-29
unfold-games,Unfold Games,1.0,2020-11-29
digital-uppercut,Digital Uppercut,1.0,2020-11-29
akupara-games,Akupara Games,10.0,2020-11-29
playway,PlayWay,23.0,2020-11-29
ustwo-games,ustwo games,4.0,2020-11-29
samurai-punk,Samurai Punk,4.0,2020-11-29
okyo-games,OKYO GAMES,2.0,2020-11-29
klabater,Klabater,14.0,2020-11-29
modus-games,Modus Games,16.0,2020-11-29
hibernian-workshop,Hibernian Workshop,1.0,2020-11-29
saber-interactive-incorporated,Saber Interactive Incorporated,3.0,2020-11-29
movie-games-sa,Movie Games S.A.,23.0,2020-11-29
rhinotales,Rhinotales,1.0,2020-11-29
1c-company,1C Company,162.0,2020-11-29
cococucumber,Cococucumber,3.0,2020-11-29
oasis-games,Oasis Games,10.0,2020-11-29
zen-studios,Zen Studios,39.0,2020-11-29
finji,Finji,8.0,2020-11-29
polymorph-games,Polymorph Games,1.0,2020-11-29
neocoregames,NeocoreGames,13.0,2020-11-29
destructive-creations,Destructive Creations,4.0,2020-11-29
playway-sa-3,PlayWay S.A.,87.0,2020-11-29
vreski,VRESKI,1.0,2020-11-29
ctrl-alt-ninja-ltd,Ctrl Alt Ninja Ltd.,1.0,2020-11-29
thatgamecompany,thatgamecompany,3.0,2020-11-29
free-reign-entertainment,Free Reign Entertainment,4.0,2020-11-29
indievent,Indievent,3.0,2020-11-29
merge-games,Merge Games,58.0,2020-11-29
question,Question,2.0,2020-11-29
screenwave-media,Screenwave Media,5.0,2020-11-29
running-with-scissors,Running With Scissors,7.0,2020-11-29
publisher-3,Носков Сергей,5.0,2020-11-29
william-chyr-studio,William Chyr Studio,1.0,2020-11-29
lukas-navratil,Lukas Navratil,2.0,2020-11-29
devespresso-games,Devespresso Games,3.0,2020-11-29
marvelous,Marvelous,20.0,2020-11-29
other-tales-interactive,Other Tales Interactive,1.0,2020-11-29
stuck-in-attic,Stuck In Attic,1.0,2020-11-29
black-tower-entertainment,Black Tower Entertainment,7.0,2020-11-29
704-games-company,704 Games Company,8.0,2020-11-29
abama-entertainment,Abama Entertainment,1.0,2020-11-29
daybreak-game-company,Daybreak Game Company,8.0,2020-11-29
skybound-games,Skybound Games,5.0,2020-11-29
friend-foe,Friend & Foe,2.0,2020-11-29
secret-base,Secret Base,4.0,2020-11-29
analgesic-productions-llc,Analgesic Productions LLC,4.0,2020-11-29
230-software,2&30 Software,1.0,2020-11-29
stovetop-llc,"Stovetop, LLC",1.0,2020-11-29
girlgame,GirlGame,7.0,2020-11-29
fluffy-entertainment,Fluffy Entertainment,1.0,2020-11-29
plug-in-digital-2,Plug In Digital,219.0,2020-11-29
playsaurus,Playsaurus,5.0,2020-11-29
bungie,Bungie,3.0,2020-11-29
dan-fornace,Dan Fornace,3.0,2020-11-29
big-way,Big Way,3.0,2020-11-29
yunus-ayyildiz,Yunus Ayyildiz,4.0,2020-11-29
mehsoft,Mehsoft,4.0,2020-11-29
alawar-premium,Alawar Premium,18.0,2020-11-29
screen-7,Screen 7,11.0,2020-11-29
3division,3Division,2.0,2020-11-29
kongregate,Kongregate,16.0,2020-11-29
iliamazo,ИЛЬЯМАЗО,1.0,2020-11-29
good-shepherd-entertainment,Good Shepherd Entertainment,28.0,2020-11-29
trese-brothers,Trese Brothers,4.0,2020-11-29
konfa-games,Konfa Games,1.0,2020-11-29
qubicgames,QubicGames,43.0,2020-11-29
grasshopper-manufacture-inc,GRASSHOPPER MANUFACTURE INC.,4.0,2020-11-29
tilting-point,Tilting Point,5.0,2020-11-29
idea-factory-international,Idea Factory International,24.0,2020-11-29
united-nations,United Nations,1.0,2020-11-29
grab-the-games,Grab The Games,4.0,2020-11-29
sureai,SureAI,2.0,2020-11-29
skybox-labs,SkyBox Labs,2.0,2020-11-29
vblank-entertainment-inc-2,"Vblank Entertainment, Inc.",2.0,2020-11-29
asmodee-digital,Asmodee Digital,62.0,2020-11-29
nis-america,NIS America,108.0,2020-11-29
bitmap-bureau,Bitmap Bureau,1.0,2020-11-29
pixeljam,Pixeljam,16.0,2020-11-29
application-systems-heidelberg,Application Systems Heidelberg,16.0,2020-11-29
double-damage-games,Double Damage Games,2.0,2020-11-29
hong-kong-netease-interactive-entertainment-limite,Hong Kong Netease Interactive Entertainment Limited,34.0,2020-11-29
yi-long-you-xi,艺龙游戏,1.0,2020-11-29
glanderco,Glanderco,2.0,2020-11-29
chainsawesome-games,Chainsawesome Games,5.0,2020-11-29
nway,nWay,1.0,2020-11-29
angry-demon-studio,Angry Demon Studio,3.0,2020-11-29
grabthegames,GrabTheGames,81.0,2020-11-29
pixel-error,Pixel Error,1.0,2020-11-29
xcgame,XCGame,1.0,2020-11-29
serkan-bakar,Serkan Bakar,16.0,2020-11-29
crea-ture-studios-inc,crea-ture Studios Inc.,1.0,2020-11-29
