DateKey,FullDate,DayNumber,MonthNumber,Year,CalendarQuarter,Season,HolidayIndicator
2019-02-04,2019-02-04,4,2,2019,1,winter,True
2019-03-22,2019-03-22,22,3,2019,1,spring,False
2019-04-03,2019-04-03,3,4,2019,2,spring,False
2019-03-08,2019-03-08,8,3,2019,1,winter,False
2019-08-27,2019-08-27,27,8,2019,3,summer,False
2019-10-25,2019-10-25,25,10,2019,3,autumn,False
2019-01-25,2019-01-25,25,1,2019,1,winter,False
2019-02-13,2019-02-13,13,2,2019,1,winter,False
2019-05-24,2019-05-24,24,5,2019,2,spring,False
2019-05-13,2019-05-13,13,5,2019,2,spring,False
2019-04-26,2019-04-26,26,4,2019,2,spring,False
2019-09-10,2019-09-10,10,9,2019,3,summer,False
2019-09-13,2019-09-13,13,9,2019,3,summer,False
2019-01-22,2019-01-22,22,1,2019,1,winter,False
2019-04-23,2019-04-23,23,4,2019,2,spring,False
2019-10-14,2019-10-14,14,10,2019,3,autumn,True
2019-06-19,2019-06-19,19,6,2019,2,spring,False
2019-03-15,2019-03-15,15,3,2019,1,winter,False
2019-02-26,2019-02-26,26,2,2019,1,winter,False
2019-01-29,2019-01-29,29,1,2019,1,winter,False
2019-05-14,2019-05-14,14,5,2019,2,spring,False
2019-09-09,2019-09-09,9,9,2019,3,summer,False
2019-05-29,2019-05-29,29,5,2019,2,spring,False
2019-04-17,2019-04-17,17,4,2019,2,spring,False
2019-02-06,2019-02-06,6,2,2019,1,winter,False
2019-06-18,2019-06-18,18,6,2019,2,spring,False
2019-09-20,2019-09-20,20,9,2019,3,summer,False
2019-01-14,2019-01-14,14,1,2019,1,winter,False
2019-09-27,2019-09-27,27,9,2019,3,autumn,False
2019-05-28,2019-05-28,28,5,2019,2,spring,False
2019-08-20,2019-08-20,20,8,2019,3,summer,False
2019-02-07,2019-02-07,7,2,2019,1,winter,False
2019-02-15,2019-02-15,15,2,2019,1,winter,False
2019-03-13,2019-03-13,13,3,2019,1,winter,False
2019-02-22,2019-02-22,22,2,2019,1,winter,False
2019-08-30,2019-08-30,30,8,2019,3,summer,False
2019-06-30,2019-06-30,30,6,2019,2,summer,False
2019-09-05,2019-09-05,5,9,2019,3,summer,False
2019-03-29,2019-03-29,29,3,2019,1,spring,False
2019-02-01,2019-02-01,1,2,2019,1,winter,False
2019-07-26,2019-07-26,26,7,2019,2,summer,False
2019-05-10,2019-05-10,10,5,2019,2,spring,False
2019-06-21,2019-06-21,21,6,2019,2,summer,False
2019-05-21,2019-05-21,21,5,2019,2,spring,False
2019-05-22,2019-05-22,22,5,2019,2,spring,False
2019-09-03,2019-09-03,3,9,2019,3,summer,False
2019-01-18,2019-01-18,18,1,2019,1,winter,False
2019-04-16,2019-04-16,16,4,2019,2,spring,False
2019-08-05,2019-08-05,5,8,2019,3,summer,False
2019-09-26,2019-09-26,26,9,2019,3,autumn,False
2019-08-19,2019-08-19,19,8,2019,3,summer,False
2019-06-28,2019-06-28,28,6,2019,2,summer,False
2019-04-04,2019-04-04,4,4,2019,2,spring,False
2019-03-26,2019-03-26,26,3,2019,1,spring,False
2019-07-29,2019-07-29,29,7,2019,2,summer,False
2019-04-29,2019-04-29,29,4,2019,2,spring,False
2019-01-03,2019-01-03,3,1,2019,1,winter,False
2019-10-07,2019-10-07,7,10,2019,3,autumn,False
2019-03-28,2019-03-28,28,3,2019,1,spring,False
2019-10-31,2019-10-31,31,10,2019,3,autumn,False
2019-01-11,2019-01-11,11,1,2019,1,winter,False
2019-10-10,2019-10-10,10,10,2019,3,autumn,False
2019-06-05,2019-06-05,5,6,2019,2,spring,False
2019-02-28,2019-02-28,28,2,2019,1,winter,False
2019-07-16,2019-07-16,16,7,2019,2,summer,False
2019-04-18,2019-04-18,18,4,2019,2,spring,False
2019-01-12,2019-01-12,12,1,2019,1,winter,False
2019-05-15,2019-05-15,15,5,2019,2,spring,False
2019-03-04,2019-03-04,4,3,2019,1,winter,False
2019-10-16,2019-10-16,16,10,2019,3,autumn,False
2019-09-25,2019-09-25,25,9,2019,3,autumn,False
2019-08-11,2019-08-11,11,8,2019,3,summer,False
2019-07-23,2019-07-23,23,7,2019,2,summer,False
2019-04-11,2019-04-11,11,4,2019,2,spring,False
2019-09-24,2019-09-24,24,9,2019,3,autumn,False
2019-09-19,2019-09-19,19,9,2019,3,summer,False
2019-05-23,2019-05-23,23,5,2019,2,spring,False
2019-06-25,2019-06-25,25,6,2019,2,summer,False
2019-09-18,2019-09-18,18,9,2019,3,summer,False
2019-03-11,2019-03-11,11,3,2019,1,winter,False
2019-04-25,2019-04-25,25,4,2019,2,spring,False
2019-09-06,2019-09-06,6,9,2019,3,summer,False
2019-04-30,2019-04-30,30,4,2019,2,spring,False
2019-10-29,2019-10-29,29,10,2019,3,autumn,False
2019-03-01,2019-03-01,1,3,2019,1,winter,False
2019-01-10,2019-01-10,10,1,2019,1,winter,False
2019-10-23,2019-10-23,23,10,2019,3,autumn,False
2019-07-05,2019-07-05,5,7,2019,2,summer,False
2019-07-11,2019-07-11,11,7,2019,2,summer,False
2019-10-04,2019-10-04,4,10,2019,3,autumn,False
2019-09-12,2019-09-12,12,9,2019,3,summer,False
2019-02-19,2019-02-19,19,2,2019,1,winter,False
2019-04-14,2019-04-14,14,4,2019,2,spring,False
2019-10-01,2019-10-01,1,10,2019,3,autumn,False
2019-03-12,2019-03-12,12,3,2019,1,winter,False
2019-03-19,2019-03-19,19,3,2019,1,winter,False
2019-07-17,2019-07-17,17,7,2019,2,summer,False
2019-10-17,2019-10-17,17,10,2019,3,autumn,False
2019-05-07,2019-05-07,7,5,2019,2,spring,False
2019-07-31,2019-07-31,31,7,2019,2,summer,False
2019-03-25,2019-03-25,25,3,2019,1,spring,False
2019-07-25,2019-07-25,25,7,2019,2,summer,False
2019-10-15,2019-10-15,15,10,2019,3,autumn,False
2019-04-24,2019-04-24,24,4,2019,2,spring,False
2019-01-30,2019-01-30,30,1,2019,1,winter,False
2019-01-09,2019-01-09,9,1,2019,1,winter,False
2019-08-31,2019-08-31,31,8,2019,3,summer,False
2019-07-18,2019-07-18,18,7,2019,2,summer,False
2019-10-09,2019-10-09,9,10,2019,3,autumn,False
2019-05-08,2019-05-08,8,5,2019,2,spring,False
2019-08-29,2019-08-29,29,8,2019,3,summer,False
2019-10-21,2019-10-21,21,10,2019,3,autumn,False
2019-09-17,2019-09-17,17,9,2019,3,summer,False
2019-08-23,2019-08-23,23,8,2019,3,summer,False
2019-05-27,2019-05-27,27,5,2019,2,spring,True
2019-08-13,2019-08-13,13,8,2019,3,summer,False
2019-05-01,2019-05-01,1,5,2019,2,spring,True
2019-04-12,2019-04-12,12,4,2019,2,spring,False
2019-10-22,2019-10-22,22,10,2019,3,autumn,False
2019-06-13,2019-06-13,13,6,2019,2,spring,False
2019-10-08,2019-10-08,8,10,2019,3,autumn,False
2019-10-18,2019-10-18,18,10,2019,3,autumn,False
2019-07-12,2019-07-12,12,7,2019,2,summer,False
2019-01-23,2019-01-23,23,1,2019,1,winter,False
2019-09-04,2019-09-04,4,9,2019,3,summer,False
2019-10-03,2019-10-03,3,10,2019,3,autumn,False
2019-10-11,2019-10-11,11,10,2019,3,autumn,False
2019-05-02,2019-05-02,2,5,2019,2,spring,False
2019-04-01,2019-04-01,1,4,2019,2,spring,False
2019-06-24,2019-06-24,24,6,2019,2,summer,False
2019-02-18,2019-02-18,18,2,2019,1,winter,True
2019-05-31,2019-05-31,31,5,2019,2,spring,False
2019-08-02,2019-08-02,2,8,2019,3,summer,False
2019-02-08,2019-02-08,8,2,2019,1,winter,False
2019-02-25,2019-02-25,25,2,2019,1,winter,False
2019-01-17,2019-01-17,17,1,2019,1,winter,False
2019-04-15,2019-04-15,15,4,2019,2,spring,False
2019-05-16,2019-05-16,16,5,2019,2,spring,False
2019-09-23,2019-09-23,23,9,2019,3,autumn,False
2019-06-04,2019-06-04,4,6,2019,2,spring,False
2019-06-03,2019-06-03,3,6,2019,2,spring,False
2019-06-06,2019-06-06,6,6,2019,2,spring,False
2019-07-03,2019-07-03,3,7,2019,2,summer,False
2019-09-30,2019-09-30,30,9,2019,3,autumn,False
2019-10-30,2019-10-30,30,10,2019,3,autumn,False
2019-04-21,2019-04-21,21,4,2019,2,spring,False
2019-06-11,2019-06-11,11,6,2019,2,spring,False
2019-10-06,2019-10-06,6,10,2019,3,autumn,False
2019-08-14,2019-08-14,14,8,2019,3,summer,False
