DeveloperKey,DeveloperName,NumberGamesDeveloped,AsOfFullDate
respawn-entertainment,Respawn Entertainment,8,2020-11-29
fromsoftware,FromSoftware,60,2020-11-29
gearbox-software,Gearbox Software,53,2020-11-29
capcom,Capcom,395,2020-11-29
505-games,505 Games,51,2020-11-29
obsidian-entertainment,Obsidian Entertainment,36,2020-11-29
4a-games,4A Games,15,2020-11-29
betadwarf,BetaDwarf,3,2020-11-29
asobo-studio,Asobo Studio,17,2020-11-29
sie-bend-studio,SIE Bend Studio,6,2020-11-29
the-coalition,The Coalition,5,2020-11-29
2k,2K,60,2020-11-29
mega-crit-games,Mega Crit Games,1,2020-11-29
netherrealm-studios,NetherRealm Studios,11,2020-11-29
zaum,ZA/UM,2,2020-11-29
deadtoast-entertainment,DeadToast Entertainment,3,2020-11-29
massive-entertainment,Massive Entertainment,13,2020-11-29
codemasters,Codemasters,95,2020-11-29
square-enix,Square Enix,295,2020-11-29
avalanche-studios,Avalanche Studios,17,2020-11-29
the-game-kitchen,The Game Kitchen,5,2020-11-29
mobius-digital-llc,"Mobius Digital, LLC",2,2020-11-29
askiisoft,Askiisoft,1,2020-11-29
system-era-softworks,System Era Softworks,1,2020-11-29
house-house,House House,3,2020-11-29
pathea-games,Pathea Games,7,2020-11-29
electronic-arts-vancouver,Electronic Arts Vancouver,8,2020-11-29
blue-manchu,Blue Manchu,2,2020-11-29
gunfire-games,Gunfire Games,7,2020-11-29
shiro-games,Shiro Games,6,2020-11-29
ubisoft,Ubisoft,298,2020-11-29
hempuli-oy,Hempuli Oy,1,2020-11-29
bioware,BioWare,62,2020-11-29
supermassive-games,Supermassive Games,11,2020-11-29
naveed321isthebest,naveed321isthebest,1,2020-11-29
ubisoft-montreal,Ubisoft Montreal,107,2020-11-29
chucklefish,Chucklefish,3,2020-11-29
activision,Activision,167,2020-11-29
arkane-studios,Arkane Studios,20,2020-11-29
freejam,Freejam,4,2020-11-29
phoenix-games,Phoenix Games,7,2020-11-29
ice-pick-lodge,Ice-Pick Lodge,9,2020-11-29
dead-mage,Dead Mage,5,2020-11-29
bandai-namco-entertainment-america-inc,BANDAI NAMCO Entertainment America Inc.,151,2020-11-29
bloober-team-sa-2,Bloober Team S.A.,23,2020-11-29
spiders,Spiders,7,2020-11-29
saber-interactive,Saber Interactive,18,2020-11-29
sumo-digital,Sumo Digital,31,2020-11-29
intelligent-systems,Intelligent Systems,62,2020-11-29
paradox-interactive,Paradox Interactive,28,2020-11-29
flavourworks,Flavourworks,1,2020-11-29
konami-digital-entertainment,Konami Digital Entertainment,415,2020-11-29
supra-games,Supra Games,3,2020-11-29
adamgryu,adamgryu,15,2020-11-29
triternion,Triternion,1,2020-11-29
alan-zucconi,Alan Zucconi,4,2020-11-29
playtonic-games,Playtonic Games,3,2020-11-29
limbic-entertainment,Limbic Entertainment,12,2020-11-29
nintendo,Nintendo,396,2020-11-29
frozenbyte,Frozenbyte,21,2020-11-29
fallen-tree-games,Fallen Tree Games,3,2020-11-29
total-mayhem-games,Total Mayhem Games,3,2020-11-29
grizzlygames,GrizzlyGames,2,2020-11-29
devolver-digital,Devolver Digital,55,2020-11-29
inxile-entertainment-2,InXile Entertainment,16,2020-11-29
undertow-games,Undertow Games,1,2020-11-29
platinumgames,Platinum Games,33,2020-11-29
blackmill-games,Blackmill Games,2,2020-11-29
monkey-moon,Monkey Moon,1,2020-11-29
one-more-level,One More Level,6,2020-11-29
fyqd-personal-studio,FYQD Personal Studio,1,2020-11-29
auroch-digital,Auroch Digital,8,2020-11-29
white-paper-games,White Paper Games,4,2020-11-29
mirage-game-studios,Mirage Game Studios,1,2020-11-29
goblinz-studio,Goblinz Studio,11,2020-11-29
kong-orange,Kong Orange,1,2020-11-29
cultic-games,Cultic Games,1,2020-11-29
team17-digital,Team17 Digital,100,2020-11-29
zachtronics,Zachtronics,13,2020-11-29
clifftop-games,Clifftop Games,2,2020-11-29
hermes-interactive,Hermes Interactive,2,2020-11-29
plukit,Plukit,1,2020-11-29
deck13,Deck13,10,2020-11-29
simogo,Simogo,4,2020-11-29
memory-of-god-lambic-studios,Memory of God / Lambic Studios,1,2020-11-29
creative-assembly,Creative Assembly,65,2020-11-29
frogwares,Frogwares,21,2020-11-29
triplevision-games,Triplevision Games,1,2020-11-29
headup-games,Headup Games,12,2020-11-29
qloc,QLOC,15,2020-11-29
atlus,Atlus,86,2020-11-29
hi-bit-studios,Hi-Bit Studios,1,2020-11-29
baroque-decay,Baroque Decay,2,2020-11-29
kog-co-ltd-2,"KOG co., Ltd",2,2020-11-29
night-school-studio,Night School Studio,3,2020-11-29
koei-tecmo-america,KOEI TECMO America,91,2020-11-29
megagon-industries,Megagon Industries,3,2020-11-29
lab-zero-games,Lab Zero Games,7,2020-11-29
electronic-arts,Electronic Arts,316,2020-11-29
joymasher,JoyMasher,7,2020-11-29
popcannibal,Popcannibal,5,2020-11-29
the-quantum-astrophysicists-guild,The Quantum Astrophysicists Guild,4,2020-11-29
sony-interactive-entertainment,Sony Interactive Entertainment,649,2020-11-29
alexey-davydov,Alexey Davydov,4,2020-11-29
pixelated-milk,Pixelated Milk,2,2020-11-29
coffee-stain-studios,Coffee Stain Studios,14,2020-11-29
doinksoft,doinksoft,2,2020-11-29
altered-matter,Altered Matter,1,2020-11-29
denki,Denki,5,2020-11-29
ragesquid,RageSquid,3,2020-11-29
experiment-101,Experiment 101,1,2020-11-29
deep-silver,Deep Silver,36,2020-11-29
robot-gentleman,Robot Gentleman,4,2020-11-29
cold-beam-games,Cold Beam Games,5,2020-11-29
paradox-development-studio,Paradox Development Studio,47,2020-11-29
unknown-worlds-entertainment,Unknown Worlds Entertainment,4,2020-11-29
tinogames-inc,Tinogames Inc.,1,2020-11-29
jadon-barnes,Jadon Barnes,1,2020-11-29
sean-scaplehorn,Sean Scaplehorn,2,2020-11-29
keoken-interactive,KeokeN Interactive,1,2020-11-29
arika,Arika,11,2020-11-29
monolith-productions,Monolith Productions,29,2020-11-29
le-cartel-studio,Le Cartel Studio,2,2020-11-29
arcen-games-llc,"Arcen Games, LLC",12,2020-11-29
killmonday-games,Killmonday Games,10,2020-11-29
annapurna-interactive,Annapurna Interactive,9,2020-11-29
gun-media-holdings-inc,"GUN MEDIA HOLDINGS, INC",3,2020-11-29
terry-cavanagh,Terry Cavanagh,10,2020-11-29
angela-he,Angela He,15,2020-11-29
blue-byte,Blue Byte,47,2020-11-29
1939-games,1939 Games,1,2020-11-29
rock-pocket-games,Rock Pocket Games,3,2020-11-29
brace-yourself-games,Brace Yourself Games,5,2020-11-29
red-thread-games,Red Thread Games,6,2020-11-29
pixelopus,Pixelopus,1,2020-11-29
eastshade-studios,Eastshade Studios,2,2020-11-29
popcap-games,PopCap Games,56,2020-11-29
good-feel,Good-Feel,5,2020-11-29
huge-calf-studios,Huge Calf Studios,2,2020-11-29
redlynx,Redlynx,11,2020-11-29
wayforward-technologies,WayForward Technologies,65,2020-11-29
scee-london-studio,SCEE London Studio,2,2020-11-29
spike-chunsoft-co-ltd,"Spike Chunsoft Co., Ltd.",19,2020-11-29
chance-agency,Chance Agency,2,2020-11-29
hidden-layer-games,Hidden Layer Games,1,2020-11-29
tinybuild,tinyBuild,33,2020-11-29
flight-school-studio,Flight School Studio,4,2020-11-29
other-ocean-interactive,Other Ocean Interactive,18,2020-11-29
jackbox-games,Jackbox Games,12,2020-11-29
ryu-ga-gotoku-studio,Ryu ga Gotoku Studio,11,2020-11-29
panache-digital-games,Panache Digital Games,1,2020-11-29
amplitude-studios,Amplitude Studios,11,2020-11-29
were-five-games,We're Five Games,3,2020-11-29
l-stotch,L. Stotch,22,2020-11-29
storm-in-a-teacup,Storm in a Teacup,5,2020-11-29
indefatigable,Indefatigable,1,2020-11-29
squanchtendo,Squanchtendo,2,2020-11-29
tendershoot,Tendershoot,2,2020-11-29
mario-von-rickenbach,Mario von Rickenbach,4,2020-11-29
sonic-team,Sonic Team,62,2020-11-29
silver-dollar-games,Silver Dollar Games,3,2020-11-29
klei-entertainment,Klei Entertainment,21,2020-11-29
handy-games,Handy Games,92,2020-11-29
hypetrain-digital,HypeTrain Digital,2,2020-11-29
inkle-ltd,inkle Ltd,8,2020-11-29
billy-goat-entertainment-ltd,Billy Goat Entertainment Ltd,2,2020-11-29
robotality,Robotality,2,2020-11-29
cloudhead-games-ltd,Cloudhead Games ltd.,5,2020-11-29
the-gentlebros,The Gentlebros,3,2020-11-29
pixelatto,Pixelatto,13,2020-11-29
image-and-form,Image and Form,3,2020-11-29
sirhaian,Sirhaian,3,2020-11-29
indiegala,IndieGala,3,2020-11-29
magic-design-studios,Magic Design Studios,1,2020-11-29
black-matter-pty-ltd,Black Matter Pty Ltd,1,2020-11-29
triband,Triband,2,2020-11-29
bonusxp,BonusXP,4,2020-11-29
the-farm-51,The Farm 51,14,2020-11-29
wolfram-von-funck-aka-wollay,Wolfram von Funck (aka Wollay),1,2020-11-29
protocol-games,Protocol Games,1,2020-11-29
antkarlov,Ant.Karlov,1,2020-11-29
madruga-works,Madruga Works,2,2020-11-29
rebellion,Rebellion,50,2020-11-29
bohemia-interactive,Bohemia Interactive,39,2020-11-29
dynamic-pixels,Dynamic Pixels,13,2020-11-29
amanita-design,Amanita Design,17,2020-11-29
unfold-games,Unfold Games,1,2020-11-29
steel-mantis,Steel Mantis,1,2020-11-29
die-gute-fabrik,Die Gute Fabrik,4,2020-11-29
wastelands-interactive,Wastelands Interactive,17,2020-11-29
ustwo-games,ustwo games,9,2020-11-29
samurai-punk,Samurai Punk,17,2020-11-29
eko-software,Eko Software,27,2020-11-29
okyogames,OKYOGames,1,2020-11-29
polyslash,Polyslash,2,2020-11-29
moondrop,Moondrop,2,2020-11-29
hibernian-workshop,Hibernian Workshop,1,2020-11-29
foam-sword,Foam Sword,1,2020-11-29
movie-games-lunarium,Movie Games Lunarium,3,2020-11-29
team-ninja,Team NINJA,30,2020-11-29
rhinotales,Rhinotales,2,2020-11-29
morgan-games,Morgan Games,1,2020-11-29
weappy-studio,Weappy Studio,3,2020-11-29
lazy-bear-games,Lazy Bear Games,3,2020-11-29
layopi-games,Layopi Games,1,2020-11-29
cococucumber,Cococucumber,3,2020-11-29
gust-corporation,Gust Corporation,32,2020-11-29
wargamingnet,Wargaming.net,16,2020-11-29
iron-mountain-interactive,Iron Mountain Interactive,1,2020-11-29
zen-studios,Zen Studios,44,2020-11-29
adam-saltsman,Adam Saltsman,28,2020-11-29
visual-concepts,Visual Concepts,78,2020-11-29
polymorph-games,Polymorph Games,1,2020-11-29
neocoregames-2,NeoCoreGames,5,2020-11-29
invader-studios,Invader Studios,1,2020-11-29
illusion-ray-studio,Illusion Ray Studio,1,2020-11-29
vreski,VRESKI,1,2020-11-29
ctrl-alt-ninja-ltd,Ctrl Alt Ninja Ltd.,1,2020-11-29
ice-code-games,Ice Code Games,6,2020-11-29
thatgamecompany,thatgamecompany,4,2020-11-29
free-reign-entertainment,Free Reign Entertainment,4,2020-11-29
redcandlegames,RedCandleGames,3,2020-11-29
