PublisherKey,PublisherName,NumberGamesPublished,AsOfFullDate
rockstar-games,Rockstar Games,64.0,2020-11-29
sony-interactive-entertainment,Sony Interactive Entertainment,287.0,2020-11-29
sony-computer-entertainment,Sony Computer Entertainment,470.0,2020-11-29
capcom,Capcom,552.0,2020-11-29
ubisoft-entertainment,Ubisoft Entertainment,980.0,2020-11-29
square-enix,Square Enix,467.0,2020-11-29
warner-bros-interactive,Warner Bros. Interactive,193.0,2020-11-29
warhorse-studios,Warhorse Studios,7.0,2020-11-29
motion-twin,Motion Twin,4.0,2020-11-29
facepunch-studios,Facepunch Studios,6.0,2020-11-29
unknown-worlds-entertainment,Unknown Worlds Entertainment,6.0,2020-11-29
matt-makes-games-inc,Matt Makes Games Inc.,2.0,2020-11-29
innersloth,Innersloth,2.0,2020-11-29
bandai-namco-entertainment,Bandai Namco Entertainment,482.0,2020-11-29
microsoft-studios,Microsoft Studios,462.0,2020-11-29
electronic-arts,Electronic Arts,1226.0,2020-11-29
focus-home-interactive,Focus Home Interactive,139.0,2020-11-29
11-bit-studios,11 bit studios,22.0,2020-11-29
devolver-digital,Devolver Digital,126.0,2020-11-29
endnight-games-ltd,Endnight Games Ltd,1.0,2020-11-29
fatshark,Fatshark,11.0,2020-11-29
cd-projekt-red,CD PROJEKT RED,16.0,2020-11-29
landfall,Landfall,5.0,2020-11-29
humble-bundle,Humble Bundle,29.0,2020-11-29
thq-nordic,THQ Nordic,190.0,2020-11-29
iceberg-interactive,Iceberg Interactive,69.0,2020-11-29
ninja-theory,Ninja Theory,4.0,2020-11-29
subset-games,Subset Games,3.0,2020-11-29
poysky-productions,Poysky Productions,2.0,2020-11-29
codemasters,Codemasters,181.0,2020-11-29
hi-rez-studios,Hi-Rez Studios,10.0,2020-11-29
activision-blizzard,Activision Blizzard,727.0,2020-11-29
tencent-games,Tencent Games,6.0,2020-11-29
funcom,Funcom,25.0,2020-11-29
bethesda-softworks,Bethesda Softworks,154.0,2020-11-29
sega-2,SEGA,1089.0,2020-11-29
plug-in-digital-2,Plug In Digital,219.0,2020-11-29
publisher-3909,3909,2.0,2020-11-29
aquiris-game-studio,Aquiris Game Studio,3.0,2020-11-29
paradox-interactive,Paradox Interactive,244.0,2020-11-29
ea-sports,EA SPORTS,106.0,2020-11-29
blazing-griffin,Blazing Griffin,4.0,2020-11-29
nintendo,Nintendo,1161.0,2020-11-29
gaijin-entertainment,Gaijin Entertainment,9.0,2020-11-29
tinybuild,tinyBuild,69.0,2020-11-29
fruitbat-factory,Fruitbat Factory,30.0,2020-11-29
1c-softclub,1C-SoftClub,44.0,2020-11-29
team17-digital-ltd,Team17 Digital,113.0,2020-11-29
deep-silver,Deep Silver,169.0,2020-11-29
klei-entertainment,Klei Entertainment,18.0,2020-11-29
alawar-premium,Alawar Premium,18.0,2020-11-29
frontier-developments,Frontier Developments,12.0,2020-11-29
contingent99,Contingent99,1.0,2020-11-29
bifrost-entertainment,Bifrost Entertainment,1.0,2020-11-29
drinkbox-studios,DrinkBox Studios,10.0,2020-11-29
stitch-heads-entertainment,Stitch Heads Entertainment,1.0,2020-11-29
hyperbolic-magnetism,Hyperbolic Magnetism,1.0,2020-11-29
scavengers-studio,Scavengers Studio,1.0,2020-11-29
versus-evil,Versus Evil,33.0,2020-11-29
forever-entertainment-s-a,Forever Entertainment,106.0,2020-11-29
nordic-games,Nordic Games,22.0,2020-11-29
coffee-stain-studios,Coffee Stain Studios,22.0,2020-11-29
trapped-nerve-games,Trapped Nerve Games,2.0,2020-11-29
505-games,505 Games,142.0,2020-11-29
thing-trunk,Thing Trunk,2.0,2020-11-29
compulsion-games,Compulsion Games,2.0,2020-11-29
alawar-entertainment,Alawar Entertainment,209.0,2020-11-29
secret-location-inc,Secret Location Inc.,1.0,2020-11-29
caged-element-inc,Caged Element Inc.,1.0,2020-11-29
playdigious,Playdigious,18.0,2020-11-29
lunarch-studios,Lunarch Studios,1.0,2020-11-29
sc-jogos,SC Jogos,8.0,2020-11-29
independent,Self Published,,2020-11-29
curve-digital,Curve Digital,52.0,2020-11-29
rebellion,Rebellion,42.0,2020-11-29
bit-kid-inc,"Bit Kid, Inc.",1.0,2020-11-29
1c-company,1C Company,162.0,2020-11-29
flippfly-llc-2,FlippFly LLC,5.0,2020-11-29
herocraft-2,HeroCraft,19.0,2020-11-29
total-mayhem-games,Total Mayhem Games,3.0,2020-11-29
raw-fury,Raw Fury,28.0,2020-11-29
adult-swim-games,Adult Swim Games,34.0,2020-11-29
