PublisherKey,PublisherName,NumberGamesPublished,AsOfFullDate
daedalic-entertainment,Daedalic Entertainment,78.0,2020-11-29
dumb-and-fat-games,Dumb and Fat Games,2.0,2020-11-29
those-awesome-guys,Those Awesome Guys,3.0,2020-11-29
telltale-games,Telltale Games,120.0,2020-11-29
crytek,Crytek,16.0,2020-11-29
kiko,КиКо,29.0,2020-11-29
kasedo-games,Kasedo Games,15.0,2020-11-29
cellar-door-games,Cellar Door Games,3.0,2020-11-29
gaming-company,gaming company,2.0,2020-11-29
the-voxel-agents,The Voxel Agents,5.0,2020-11-29
annapurna-interactive,Annapurna Interactive,25.0,2020-11-29
turtle-juice,Turtle Juice,1.0,2020-11-29
imgnpro,IMGN.PRO,11.0,2020-11-29
tate-multimedia,Tate Multimedia,6.0,2020-11-29
exordium-games,Exordium Games,5.0,2020-11-29
gameforge-4d-gmbh,Gameforge 4D GmbH,11.0,2020-11-29
armor-games,Armor Games,12.0,2020-11-29
agm-playism,AGM PLAYISM,84.0,2020-11-29
2k-games,2K Games,190.0,2020-11-29
ellada-games,Ellada Games,3.0,2020-11-29
inti-creates,Inti Creates,16.0,2020-11-29
mixtvision,Mixtvision,4.0,2020-11-29
kalypso-media,Kalypso Media,115.0,2020-11-29
inxile-entertainment,inXile Entertainment,19.0,2020-11-29
zachtronics,Zachtronics,14.0,2020-11-29
grip-digital,Grip Digital,2.0,2020-11-29
robot-gentleman,Robot Gentleman,3.0,2020-11-29
arbitrary-metric,Arbitrary Metric,1.0,2020-11-29
noctet-studio,Noctet Studio,1.0,2020-11-29
techland-publishing,Techland Publishing,11.0,2020-11-29
viktor-yurchuk,Viktor Yurchuk,1.0,2020-11-29
the-irregular-corporation,The Irregular Corporation,11.0,2020-11-29
alawar-entertainment-inc,"Alawar Entertainment, Inc",78.0,2020-11-29
hypetrain-digital,HypeTrain Digital,16.0,2020-11-29
modus-games,Modus Games,16.0,2020-11-29
dan-gary-games,Dan & Gary Games,1.0,2020-11-29
new-blood-interactive,New Blood Interactive,11.0,2020-11-29
serenity-forge,Serenity Forge,10.0,2020-11-29
bossa-studios,Bossa Studios,14.0,2020-11-29
lo-fi-games,Lo-Fi Games,1.0,2020-11-29
wales-interactive,Wales Interactive,18.0,2020-11-29
playway-sa-3,PlayWay S.A.,87.0,2020-11-29
blue-wizard-digital,Blue Wizard Digital,5.0,2020-11-29
team-reptile,Team Reptile,4.0,2020-11-29
paper-castle-games,Paper Castle Games,1.0,2020-11-29
another-indie,Another Indie,16.0,2020-11-29
boss-key-productions,Boss Key Productions,1.0,2020-11-29
nexon,Nexon,17.0,2020-11-29
kenny-guillaume,Kenny Guillaume,1.0,2020-11-29
daniel-mullins-games,Daniel Mullins Games,2.0,2020-11-29
ronimo-games,Ronimo Games,5.0,2020-11-29
slitherine,Slitherine,128.0,2020-11-29
teamcoil,teamCOIL,1.0,2020-11-29
milestone-srl,Milestone S.r.l.,34.0,2020-11-29
capybara-games,Capybara Games,4.0,2020-11-29
konami,Konami,694.0,2020-11-29
neocoregames,NeocoreGames,13.0,2020-11-29
hitcentscom-inc,"Hitcents.com, Inc",18.0,2020-11-29
rebuilt-games,Rebuilt Games,1.0,2020-11-29
atomteam,AtomTeam,3.0,2020-11-29
rusty-lake,Rusty Lake,7.0,2020-11-29
redruins-softworks,RedRuins Softworks,1.0,2020-11-29
graffiti-games,Graffiti Games,8.0,2020-11-29
playstation-mobile-inc,PlayStation Mobile Inc.,20.0,2020-11-29
spiderweb-software,Spiderweb Software,27.0,2020-11-29
cantaloupe-kids,Cantaloupe Kids,1.0,2020-11-29
whispergames,WhisperGames,19.0,2020-11-29
wonderstruck,Wonderstruck,1.0,2020-11-29
valve,Valve,41.0,2020-11-29
stunlock-studios,Stunlock Studios,3.0,2020-11-29
nival,Nival,16.0,2020-11-29
amanita-design,Amanita Design,8.0,2020-11-29
dim-bulb-games,Dim Bulb Games,1.0,2020-11-29
surprise-attack,Surprise Attack,23.0,2020-11-29
russian-fishing,Russian Fishing,1.0,2020-11-29
trion-worlds,Trion Worlds,10.0,2020-11-29
polyarc-inc,"Polyarc, Inc.",1.0,2020-11-29
saibot-studios,Saibot Studios,7.0,2020-11-29
behaviour-digital-inc,Behaviour Digital Inc.,3.0,2020-11-29
jackbox-games,Jackbox Games,9.0,2020-11-29
ap-thomson,AP Thomson,1.0,2020-11-29
aspyr,Aspyr,96.0,2020-11-29
kaiparasoft-ltd,Kaiparasoft Ltd,33.0,2020-11-29
puppygames,Puppygames,4.0,2020-11-29
xd-network-inc,X.D. Network Inc.,13.0,2020-11-29
toby-fox,Toby Fox,2.0,2020-11-29
3d-realms,3D Realms,34.0,2020-11-29
creepy-jar,Creepy Jar,1.0,2020-11-29
jesse-makkonen,Jesse Makkonen,5.0,2020-11-29
uppercut-games-pty-ltd,Uppercut Games Pty Ltd,3.0,2020-11-29
flow-fire-games,Flow Fire Games,3.0,2020-11-29
scott-cawthon,Scott Cawthon,32.0,2020-11-29
ohnoo-studio,OhNoo Studio,12.0,2020-11-29
digerati,Digerati,34.0,2020-11-29
killhouse-games,KillHouse Games,4.0,2020-11-29
asmodee-digital,Asmodee Digital,62.0,2020-11-29
mycom-3,My.Com,5.0,2020-11-29
darril-arts,Darril Arts,1.0,2020-11-29
next-studio,Next Studio,3.0,2020-11-29
atlus,Atlus,223.0,2020-11-29
dikobraz-games,Dikobraz Games,15.0,2020-11-29
spearhead-games,Spearhead Games,4.0,2020-11-29
grace-bruxner,Grace Bruxner,1.0,2020-11-29
koei-tecmo-games-co-ltd,"KOEI TECMO GAMES CO., LTD.",87.0,2020-11-29
webzen,Webzen,10.0,2020-11-29
chucklefish,Chucklefish,18.0,2020-11-29
bigben-interactive,Bigben Interactive,112.0,2020-11-29
crazy-monkey-studios,Crazy Monkey Studios,4.0,2020-11-29
experimental-gameplay-group,Experimental Gameplay Group,4.0,2020-11-29
10tons-ltd,10tons Ltd,37.0,2020-11-29
frecle-aps,frecle ApS,1.0,2020-11-29
metalhead-software-inc,Metalhead Software Inc.,3.0,2020-11-29
grapeshot-games,Grapeshot Games,1.0,2020-11-29
wired-productions,Wired Productions,11.0,2020-11-29
quentin-lengele,Quentin Lengele,1.0,2020-11-29
neat-corporation,Neat Corporation,3.0,2020-11-29
34bigthings,34BigThings,6.0,2020-11-29
crunching-koalas,Crunching Koalas,8.0,2020-11-29
hong-kong-netease-interactive-entertainment-limite,Hong Kong Netease Interactive Entertainment Limited,34.0,2020-11-29
grilgame,GrilGame,1.0,2020-11-29
holospark,Holospark,5.0,2020-11-29
my-next-games,My Next Games,2.0,2020-11-29
toastielabs,ToastieLabs,3.0,2020-11-29
anton-kramskoi,Anton Kramskoi,1.0,2020-11-29
define-human-studios,Define Human Studios,1.0,2020-11-29
wadjet-eye-games,Wadjet Eye Games,16.0,2020-11-29
avocavo,Avocavo,1.0,2020-11-29
conchship-games,ConchShip Games,1.0,2020-11-29
fdg-entertainment,FDG Entertainment,6.0,2020-11-29
spike-chunsoft-co-ltd,"Spike Chunsoft Co., Ltd.",28.0,2020-11-29
victor-moller,Victor Möller,1.0,2020-11-29
david-schneider,David Schneider,2.0,2020-11-29
quiet-river,Quiet River,23.0,2020-11-29
thin-matrix,Thin Matrix,1.0,2020-11-29
survios,Survios,6.0,2020-11-29
agafonoff,Agafonoff,3.0,2020-11-29
mighty-games,Mighty Games,3.0,2020-11-29
topstitch-games,Topstitch Games,2.0,2020-11-29
garage-games,Garage Games,35.0,2020-11-29
sirlin-games,Sirlin Games,3.0,2020-11-29
whale-rock-games,Whale Rock Games,3.0,2020-11-29
roman-glebenkov,Roman Glebenkov,1.0,2020-11-29
kongregate,Kongregate,16.0,2020-11-29
kvk-games,KvK Games,1.0,2020-11-29
lions-shade,Lion's Shade,1.0,2020-11-29
chubby-pixel,Chubby Pixel,10.0,2020-11-29
merge-games,Merge Games,58.0,2020-11-29
stardock-entertainment,Stardock Entertainment,38.0,2020-11-29
koyotis-studio,Koyotis Studio,1.0,2020-11-29
arc-system-works,Arc System Works,52.0,2020-11-29
the-pokemon-company,The Pokemon Company,12.0,2020-11-29
slayone,Slay.one,1.0,2020-11-29
girlgame,GirlGame,7.0,2020-11-29
oxymoron-games,Oxymoron Games,1.0,2020-11-29
game-odyssey-limited,Game Odyssey Limited,1.0,2020-11-29
area-120,Area 120,1.0,2020-11-29
milkstone-studios,Milkstone Studios,24.0,2020-11-29
game-for-people,Game for people,17.0,2020-11-29
myacg-studio,MyACG Studio,3.0,2020-11-29
tencent,Tencent,4.0,2020-11-29
kukhtenkov-georgiy,Kukhtenkov Georgiy,1.0,2020-11-29
gamers-for-good,Gamers for Good,2.0,2020-11-29
mandragora,Mandragora,1.0,2020-11-29
artifex-mundi,Artifex Mundi,79.0,2020-11-29
prototype-games,Prototype Games,1.0,2020-11-29
xminutesgames,XMinutesGames,2.0,2020-11-29
greenthumbstudios,GreenThumbStudios,1.0,2020-11-29
catness-game-studios,Catness Game Studios,3.0,2020-11-29
classics-digital,Classics Digital,16.0,2020-11-29
rs-games,RS Games,2.0,2020-11-29
snowman,Snowman,6.0,2020-11-29
snail-games,Snail Games,5.0,2020-11-29
tranquility-games,Tranquility games,12.0,2020-11-29
kiss-ltd,Kiss,157.0,2020-11-29
hubiao,HuBiao,3.0,2020-11-29
easygames,EasyGames,6.0,2020-11-29
gunpowder-games-llc,"Gunpowder Games, LLC",1.0,2020-11-29
thebrokenhorn,thebrokenhorn,1.0,2020-11-29
abstractart,AbstractArt,2.0,2020-11-29
nis-america,NIS America,108.0,2020-11-29
oolblue-inc,O'olBlue Inc.,2.0,2020-11-29
freebird-games,Freebird Games,4.0,2020-11-29
wavedash-games,Wavedash Games,1.0,2020-11-29
interactive-stone,Interactive Stone,3.0,2020-11-29
neokosmos-technologies-ltd,Neokosmos Technologies Ltd.,2.0,2020-11-29
midgar-studio,Midgar Studio,1.0,2020-11-29
azamatika,AZAMATIKA,6.0,2020-11-29
berzerk-studio,Berzerk Studio,4.0,2020-11-29
rlr-training-inc,RLR Training Inc,3.0,2020-11-29
disney-interactive,Disney Interactive,320.0,2020-11-29
onyx-lute,Onyx Lute,2.0,2020-11-29
alex-barrett,Alex Barrett,1.0,2020-11-29
ratalaika-games-sl,Ratalaika Games S.L.,18.0,2020-11-29
ludosity,Ludosity,8.0,2020-11-29
the-farm-51,The Farm 51,2.0,2020-11-29
afbik-studio,AFBIK Studio,24.0,2020-11-29
over-the-moon,Over The Moon,2.0,2020-11-29
b4t-games,B4T Games,2.0,2020-11-29
totem-entertainment,Totem Entertainment,1.0,2020-11-29
azimut-team,azimut team,25.0,2020-11-29
llc-blini-games,LLC Blini Games,2.0,2020-11-29
netdragon-websoft-inc,NetDragon Websoft Inc.,1.0,2020-11-29
headbang-club,Headbang Club,1.0,2020-11-29
egosoft,Egosoft,11.0,2020-11-29
playwith-interactive-inc-2,PLAYWITH Interactive Inc.,1.0,2020-11-29
animu-game,Animu Game,3.0,2020-11-29
aeria-games,Aeria Games,20.0,2020-11-29
kev-jackson,Kev Jackson,8.0,2020-11-29
shotx-studio,ShotX Studio,4.0,2020-11-29
enhance-games,Enhance Games,2.0,2020-11-29
piko-interactive,Piko Interactive,37.0,2020-11-29
eathrabaria,Eathrabaria,3.0,2020-11-29
aerolab-studios-ltd,Aerolab Studios LTD,1.0,2020-11-29
sleepy-duck,Sleepy Duck,3.0,2020-11-29
gearbox-publishing,Gearbox Publishing,11.0,2020-11-29
qubicgames,QubicGames,43.0,2020-11-29
silhouette-valley-games,Silhouette Valley Games,3.0,2020-11-29
paper-house-pty-ltd,Paper House Pty Ltd,1.0,2020-11-29
rival-games-ltd,Rival Games Ltd,3.0,2020-11-29
bilge-kaan,Bilge Kaan,2.0,2020-11-29
assemble-entertainment,Assemble Entertainment,31.0,2020-11-29
auroch-digital,Auroch Digital,6.0,2020-11-29
d3-publisher,D3 PUBLISHER,40.0,2020-11-29
team-dyo,Team DYO,1.0,2020-11-29
ratalaika-games,Ratalaika Games,45.0,2020-11-29
new-reality-games,New Reality Games,48.0,2020-11-29
grey-havens-llc,"Grey Havens, LLC",1.0,2020-11-29
vt-publishing,VT Publishing,51.0,2020-11-29
kk-game-studio,KK Game Studio,1.0,2020-11-29
salsawi-games,Salsawi Games,6.0,2020-11-29
anuman-interactive,Anuman Interactive,41.0,2020-11-29
circle-ent,CIRCLE Ent.,75.0,2020-11-29
mailcat07,mailcat07,1.0,2020-11-29
wizards-of-the-coast,Wizards of the Coast,12.0,2020-11-29
ripstone,Ripstone,18.0,2020-11-29
abdulin-ildar,Abdulin Ildar,2.0,2020-11-29
choice-provisions,Choice Provisions,18.0,2020-11-29
simple-ghost,Simple Ghost,2.0,2020-11-29
tero-lunkka,Tero Lunkka,56.0,2020-11-29
supercell-oy,Supercell Oy,5.0,2020-11-29
ultimate-games-sa,Ultimate Games S.A.,66.0,2020-11-29
starbreeze-publishing-ab,Starbreeze publishing AB,5.0,2020-11-29
indiegala,IndieGala,10.0,2020-11-29
google,Google,10.0,2020-11-29
dreamz-studio,Dreamz Studio,3.0,2020-11-29
piko-interactive-llc,Piko Interactive LLC,31.0,2020-11-29
yeswecamp,yeswecamp,2.0,2020-11-29
vive-studios,Vive Studios,10.0,2020-11-29
application-systems-heidelberg,Application Systems Heidelberg,16.0,2020-11-29
broken-dinosaur-studios,Broken Dinosaur Studios,1.0,2020-11-29
wayforward,WayForward,22.0,2020-11-29
blowfish-studios,Blowfish Studios,15.0,2020-11-29
peevasseeq-games,peevasseeq games,2.0,2020-11-29
sakuragame,SakuraGame,67.0,2020-11-29
ebi-hime,ebi-hime,7.0,2020-11-29
patyuk-sergey,Patyuk Sergey,2.0,2020-11-29
zoink-games,Zoink Games,5.0,2020-11-29
